
SetupTitle, ADC
PrimitiveTest, I/V-t Sampling
TestParameter, Context.MainFrame, B1500A
TestParameter, Channel.UnitType, SMU
TestParameter, Channel.Unit, SMU3:MP
TestParameter, Channel.IName, I1
TestParameter, Channel.VName, V1
TestParameter, Channel.Mode, V
TestParameter, Channel.Index, 
TestParameter, Channel.Time, Time
TestParameter, Measurement.Port.Unit, SMU3:MP
TestParameter, Measurement.Port.SeriesResistor, NONE
TestParameter, Measurement.Port.Filter, ON
TestParameter, Measurement.Port.OutputVoltageComparison, 0
TestParameter, Measurement.Sampling.Scale, LINEAR
TestParameter, Measurement.Sampling.Interval, 0.004
TestParameter, Measurement.Sampling.Count, 10000
TestParameter, Measurement.Sampling.HoldTime, 0
TestParameter, Measurement.Sampling.BaseHoldTime, 0
TestParameter, Measurement.Sampling.OutputSequence, SEQUENTIAL
TestParameter, Measurement.PostOutput.Value, SOURCE
TestParameter, Measurement.PostOutput.Retention, OFF
TestParameter, Measurement.Bias.Base, 0
TestParameter, Measurement.Bias.Source, 4.2
TestParameter, Measurement.Bias.Compliance, 0.05
TestParameter, Measurement.Monitor.Unit, SMU3:MP
TestParameter, Measurement.Monitor.Adc, HR ADC
TestParameter, Measurement.Monitor.Measurement, Compliance Side
TestParameter, Measurement.Monitor.RangingMode, LIMITED
TestParameter, Measurement.Monitor.RangeBoundary, 1nA
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Time
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 79.996000000000009
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
