P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3159,1718,962,1406,826,1546,1555,878,927,2478,3541,1485,1375,2474,1450,1924,2632,1160,1146,979,905,1538,1687
3155,1700,993,1371,799,1582,1560,892,936,2412,3541,1415,1313,2487,1415,1990,2698,1138,1199,993,914,1520,1674
3159,1652,1006,1401,786,1560,1573,909,931,2412,3528,1437,1335,2425,1450,1973,2645,1111,1107,962,922,1524,1661
3142,1669,997,1397,786,1582,1542,874,874,2412,3528,1463,1331,2474,1393,1942,2663,1190,1186,958,940,1529,1683
3133,1678,1010,1410,808,1590,1568,887,927,2491,3546,1437,1344,2456,1437,1995,2649,1142,1164,953,874,1542,1727
3177,1656,958,1401,791,1599,1577,839,909,2421,3524,1419,1340,2469,1450,1942,2649,1186,1151,958,914,1533,1696
3142,1678,971,1406,817,1582,1542,852,927,2460,3524,1423,1344,2482,1432,1973,2623,1146,1129,944,914,1533,1687
3172,1687,975,1397,821,1555,1560,914,922,2425,3528,1441,1322,2513,1445,2003,2654,1138,1142,979,914,1533,1674
3159,1674,975,1375,777,1568,1568,874,905,2482,3528,1423,1344,2460,1397,1946,2614,1155,1116,914,922,1546,1696
3190,1643,984,1397,777,1577,1555,887,918,2434,3563,1480,1322,2425,1437,1977,2649,1125,1151,931,896,1524,1687
3181,1656,997,1406,791,1586,1533,883,900,2395,3528,1450,1366,2474,1458,1951,2649,1094,1146,922,931,1520,1634
3172,1661,993,1428,777,1608,1555,874,936,2403,3537,1415,1340,2465,1472,1981,2649,1151,1146,927,914,1560,1674
3177,1621,984,1375,861,1573,1529,861,936,2430,3528,1458,1291,2469,1428,1977,2636,1120,1133,958,887,1494,1678
3142,1678,953,1419,795,1568,1529,861,922,2425,3537,1437,1322,2474,1410,1977,2627,1138,1138,944,870,1542,1713
3146,1678,988,1397,804,1595,1538,843,909,2434,3480,1423,1313,2438,1437,1973,2658,1177,1138,966,905,1542,1661
3120,1652,971,1423,804,1590,1546,834,927,2395,3520,1467,1353,2456,1415,1977,2667,1133,1155,940,905,1542,1674
3168,1678,1010,1406,799,1564,1551,861,931,2386,3524,1441,1340,2465,1388,1942,2641,1151,1160,958,914,1502,1687
3194,1678,1006,1393,830,1573,1546,883,887,2408,3546,1454,1313,2474,1441,1937,2610,1125,1151,971,918,1516,1661
