Time Stamp,sensorPin2,sensorPin3,sensorPin4,sensorPin6,sensorPin7,sensorPin9,sensorPin10,sensorPin11,sensorPin12,sensorPin13,sensorPin19,sensorPin20,sensorPin21,sensorPin22,sensorPin23,sensorPin24,sensorPin26,sensorPin27,sensorPin28,sensorPin29,sensorPin30,sensorPin31
11-05-2018 22:02:45,76.2,182.0,492.1,543.0,546.0,232.2,100.7,252.7,420.8,536.3,128.4,150.0,166.7,76.4,442.1,99.3,119.3,103.9,431.7,138.5,444.9,107.1,199.2
11-05-2018 22:02:45,76.3,182.0,491.6,542.5,546.0,232.0,100.8,252.9,421.7,536.4,127.9,150.2,167.3,76.1,442.6,99.0,119.0,104.2,431.7,138.3,444.6,107.4,199.1
11-05-2018 22:02:45,76.4,182.1,491.2,541.5,545.8,231.8,100.6,253.0,421.4,531.8,128.4,150.4,166.9,75.9,442.7,99.0,119.2,104.2,430.3,138.7,445.2,106.8,199.5
11-05-2018 22:02:45,76.4,182.0,492.2,543.2,546.4,232.2,100.7,253.0,422.4,537.7,128.4,150.1,166.3,76.2,442.2,98.7,119.1,104.4,431.3,138.6,445.2,106.6,197.7
11-05-2018 22:02:45,76.5,182.0,490.9,543.7,546.4,231.5,100.7,253.1,422.4,536.2,128.4,149.8,166.7,76.2,441.9,98.8,118.9,104.3,430.7,137.8,444.5,106.9,197.9
11-05-2018 22:02:45,76.4,182.4,491.6,542.4,546.0,231.6,101.2,253.0,422.0,537.7,127.9,149.6,166.8,75.9,442.5,98.8,119.0,104.3,430.9,138.6,444.8,107.1,197.6
11-05-2018 22:02:46,76.5,182.1,491.6,542.4,546.0,231.9,100.8,253.3,422.0,531.7,128.3,150.1,166.7,76.4,442.5,98.8,118.6,104.1,430.7,139.0,445.1,107.1,198.2
11-05-2018 22:02:46,75.6,182.0,491.7,543.0,547.2,232.0,100.4,253.3,422.4,537.4,128.2,149.7,166.8,76.2,442.0,99.3,119.1,103.9,430.9,138.7,445.4,106.9,198.3
11-05-2018 22:02:46,76.6,181.9,491.9,542.5,546.5,231.9,101.1,253.2,422.7,536.7,128.1,150.6,166.8,76.3,441.9,98.7,119.1,103.9,430.7,138.8,445.0,107.3,198.1
11-05-2018 22:02:46,76.1,182.2,491.8,542.9,546.8,231.9,100.9,252.6,421.6,536.7,128.1,149.8,166.7,76.0,442.2,98.5,118.8,104.1,430.2,138.6,445.1,107.3,197.6
11-05-2018 22:02:46,76.4,181.6,491.8,541.5,546.1,232.0,100.5,253.4,422.1,530.9,128.1,149.6,166.6,76.4,442.3,98.3,119.4,103.6,430.4,138.8,444.6,107.3,197.8
11-05-2018 22:02:46,76.3,181.4,492.6,543.3,546.9,231.4,101.0,253.5,420.8,536.2,127.9,149.8,167.5,76.3,442.7,98.9,119.3,103.9,430.8,139.1,445.1,106.7,197.6
