Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,13:35:01.397,31380,31427,31409,31462,31322,31351,31293,31432,31357,31398,31427,31427,31322,31403,31328,31351,31374,31392,31351,31345,31456,31415,31456,31456,31398,31392,31345,31380,31467,31456,31427,,,,,,,,,,,,,
Wait,13:35:01.497,31438,31415,31502,31450,31398,31386,31247,31532,31421,31357,31473,31398,31380,31415,31508,31444,31456,31398,31374,31363,31432,31468,31444,31427,31508,31276,31380,31345,31491,31421,31403,,,,,,,,,,,,,
Wait,13:35:01.596,31438,31328,31427,31409,31351,31351,31357,31403,31421,31357,31392,31392,31345,31386,31310,31392,31339,31369,31392,31328,31462,31398,31438,31386,31421,31183,31374,31305,31415,31415,31427,,,,,,,,,,,,,
Wait,13:35:01.697,31339,31386,31467,31392,31345,31369,31450,31450,31357,31380,31444,31462,31345,31334,31223,31444,31433,31224,31415,31380,31427,31438,31398,31427,31444,31368,31351,31386,31473,31438,31403,,,,,,,,,,,,,
Wait,13:35:01.797,31380,31467,31386,31462,31339,31374,31258,31421,31427,31398,31438,31415,31380,31415,31316,31432,31403,31374,31386,31322,31421,31427,31462,31398,31398,31357,31363,31403,31398,31433,31392,,,,,,,,,,,,,
Wait,13:35:01.810,31392,31322,31398,31421,31438,31328,31386,31456,31392,31345,31456,31427,31392,31403,31247,31462,31398,31339,31334,31369,31479,31444,31386,31421,31456,31369,31409,31392,31444,31497,31299,,,,,,,,,,,,,
Wait,13:35:01.997,31444,31432,31432,31409,31357,31403,31328,31456,31374,31374,31432,31421,31310,31351,31339,31415,31467,31380,31398,31299,31467,31427,31456,31433,31497,31212,31368,31322,31421,31415,31403,,,,,,,,,,,,,
Wait,13:35:02.097,31363,31368,31421,31432,31357,31392,31258,31403,31357,31310,31368,31450,31328,31427,31374,31444,31456,31421,31415,31368,31433,31432,31392,31310,31456,31189,31456,31398,31438,31438,31392,,,,,,,,,,,,,
Wait,13:35:02.112,31444,31427,31433,31444,31275,31380,31282,31398,31345,31386,31456,31427,31380,31357,31357,31467,31444,31247,31368,31380,31432,31456,31415,31485,31427,31345,31334,31328,31374,31432,31322,,,,,,,,,,,,,
Wait,13:35:02.297,31415,31415,31421,31467,31363,31403,31258,31409,31374,31374,31438,31421,31409,31398,31421,31479,31438,31438,31386,31462,31456,31456,31392,31398,31444,31380,31398,31363,31450,31438,31520,,,,,,,,,,,,,
Wait,13:35:02.313,31433,31357,31415,31450,31369,31328,31403,31392,31380,31398,31421,31444,31363,31357,31142,31403,31345,31200,31380,31270,31456,31462,31450,31415,31462,31415,31403,31339,31450,31491,31351,,,,,,,,,,,,,
Wait,13:35:02.497,31444,31345,31427,31456,31392,31427,31235,31421,31398,31380,31456,31462,31380,31293,31398,31421,31444,31462,31403,31403,31421,31421,31386,31421,31462,31223,31386,31427,31415,31444,31328,,,,,,,,,,,,,
Wait,13:35:02.598,31357,31363,31398,31473,31316,31409,31392,31433,31403,31351,31421,31450,31357,31403,31223,31432,31427,31305,31345,31299,31491,31409,31415,31392,31398,31293,31299,31345,31462,31432,31287,,,,,,,,,,,,,
Wait,13:35:02.697,31339,31444,31438,31450,31357,31398,31200,31444,31351,31433,31450,31427,31339,31398,31258,31467,31403,31223,31398,31386,31421,31456,31345,31374,31392,31328,31363,31380,31345,31438,31479,,,,,,,,,,,,,
Wait,13:35:02.712,31403,31386,31462,31462,31398,31339,31467,31415,31421,31462,31508,31421,31374,31409,31200,31479,31479,31241,31328,31392,31462,31491,31444,31415,31427,31462,31392,31380,31427,31479,31374,,,,,,,,,,,,,
Wait,13:35:02.897,31351,31398,31328,31415,31322,31270,31241,31421,31328,31398,31415,31421,31316,31345,31363,31398,31403,31421,31351,31339,31462,31444,31345,31357,31438,31345,31351,31357,31368,31456,31403,,,,,,,,,,,,,
Wait,13:35:02.996,31380,31345,31386,31403,31415,31363,31264,31427,31380,31415,31450,31386,31398,31403,31369,31427,31438,31363,31398,31351,31467,31432,31427,31357,31409,31386,31369,31310,31409,31473,31351,,,,,,,,,,,,,
Wait,13:35:03.097,31363,31415,31456,31497,31409,31334,31374,31438,31363,31386,31456,31479,31398,31380,31171,31427,31433,31247,31351,31386,31386,31473,31450,31403,31433,31374,31427,31380,31473,31497,31380,,,,,,,,,,,,,
Wait,13:35:03.197,31421,31438,31473,31502,31415,31386,31374,31427,31369,31421,31433,31479,31357,31427,31177,31479,31485,31195,31409,31345,31479,31432,31432,31409,31432,31421,31351,31403,31485,31520,31485,,,,,,,,,,,,,
Wait,13:35:03.297,31357,31334,31339,31433,31398,31380,31241,31473,31345,31409,31409,31462,31415,31357,31339,31433,31502,31299,31386,31386,31421,31444,31403,31380,31532,31369,31357,31334,31467,31403,31380,,,,,,,,,,,,,
