Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Gesture 1,13:35:11.296,31409,31386,31374,31421,31380,31398,31392,31438,31415,31369,31473,31386,31398,31432,31369,31409,31427,31392,31415,31473,31427,31456,31438,31322,31467,31392,31432,31392,31386,31491,31427,,,,,,,,,,,,,
Gesture 1,13:35:11.396,31427,31467,31473,31444,31386,31409,31351,31398,31462,31421,31403,31485,31363,31322,31398,31456,31462,31473,31421,31398,31415,31467,31432,31433,31479,31392,31427,31421,31415,31462,31374,,,,,,,,,,,,,
Gesture 1,13:35:11.496,31386,31404,31438,31403,31357,31357,31374,31444,31427,31374,31386,31398,31398,31403,31380,31432,31415,31386,31368,31380,31374,31479,31479,31444,31403,31386,31398,31403,31345,31421,31438,,,,,,,,,,,,,
Gesture 1,13:35:11.596,31398,31444,31444,31392,31432,31409,31462,31403,31433,31456,31444,31374,31363,31374,31398,31508,31467,31427,31386,31403,31450,31462,31456,31456,31485,31444,31438,31374,31444,31508,31421,,,,,,,,,,,,,
Gesture 1,13:35:11.697,31473,31438,31403,31386,31438,31351,31415,31438,31467,31421,31479,31433,31368,31421,31421,31415,31415,31403,31363,31438,31403,31467,31491,31386,31398,31485,31415,31415,31328,31462,31374,,,,,,,,,,,,,
Gesture 1,13:35:11.797,31456,31403,31409,31403,31403,31328,31421,31508,31427,31386,31520,31398,31403,31392,31450,31450,31462,31427,31409,31409,31456,31485,31462,31462,31427,31438,31369,31345,31433,31473,31363,,,,,,,,,,,,,
Gesture 1,13:35:11.896,31386,31502,31473,31398,31398,31421,31368,31450,31380,31433,31427,31374,31403,31345,31450,31363,31502,31386,31427,31415,31374,31427,31456,31427,31479,31456,31456,31467,31473,31462,31409,,,,,,,,,,,,,
Gesture 1,13:35:11.996,31398,31491,31415,31363,31363,31363,31438,31514,31473,31444,31409,31403,31438,31398,31409,31444,31502,31473,31351,31427,31462,31479,31491,31433,31450,31456,31403,31450,31374,31415,31421,,,,,,,,,,,,,
Gesture 1,13:35:12.017,31421,31450,31433,31351,31392,31368,31444,31427,31444,31392,31403,31415,31357,31369,31415,31415,31462,31392,31415,31432,31363,31438,31398,31444,31456,31351,31374,31392,31409,31473,31444,,,,,,,,,,,,,
Gesture 1,13:35:12.196,31409,31456,31433,31403,31415,31339,31433,31427,31392,31415,31526,31438,31392,31363,31467,31415,31421,31421,31316,31398,31485,31520,31403,31456,31462,31438,31409,31432,31497,31543,31438,,,,,,,,,,,,,
Gesture 1,13:35:12.296,31450,31456,31415,31386,31398,31374,31339,31438,31502,31450,31450,31345,31398,31415,31415,31357,31432,31368,31415,31386,31374,31438,31415,31398,31467,31427,31403,31432,31409,31421,31514,,,,,,,,,,,,,
Gesture 1,13:35:12.311,31491,31380,31421,31532,31415,31427,31473,31543,31485,31409,31444,31432,31403,31450,31456,31450,31520,31450,31433,31392,31433,31467,31497,31421,31497,31427,31456,31432,31386,31479,31456,,,,,,,,,,,,,
Gesture 1,13:35:12.496,31456,31392,31386,31415,31444,31444,31444,31403,31386,31427,31438,31415,31345,31357,31369,31444,31368,31409,31398,31409,31427,31444,31380,31438,31462,31357,31409,31432,31398,31491,31462,,,,,,,,,,,,,
Gesture 1,13:35:12.596,31450,31438,31450,31444,31433,31386,31438,31421,31438,31421,31444,31398,31415,31363,31380,31456,31508,31485,31427,31398,31444,31456,31479,31467,31485,31369,31450,31374,31432,31473,31473,,,,,,,,,,,,,
Gesture 1,13:35:12.696,31438,31462,31339,31438,31403,31403,31386,31403,31450,31450,31491,31427,31374,31363,31380,31403,31363,31380,31398,31386,31427,31491,31433,31427,31369,31380,31345,31374,31421,31415,31467,,,,,,,,,,,,,
Gesture 1,13:35:12.796,31444,31392,31473,31467,31473,31433,31415,31438,31497,31334,31456,31444,31421,31322,31433,31438,31462,31369,31357,31415,31409,31508,31398,31415,31421,31403,31380,31456,31392,31456,31438,,,,,,,,,,,,,
Gesture 1,13:35:12.896,31386,31374,31421,31368,31345,31392,31398,31392,31479,31403,31450,31415,31380,31380,31427,31409,31415,31415,31386,31380,31473,31427,31432,31403,31398,31299,31403,31421,31456,31392,31438,,,,,,,,,,,,,
Gesture 1,13:35:12.996,31444,31438,31374,31415,31374,31427,31479,31462,31398,31415,31427,31374,31427,31328,31368,31450,31433,31450,31450,31456,31473,31392,31409,31392,31421,31398,31398,31386,31363,31491,31438,,,,,,,,,,,,,
Gesture 1,13:35:13.096,31432,31368,31427,31444,31409,31351,31369,31363,31351,31380,31374,31398,31368,31368,31334,31450,31328,31421,31339,31403,31467,31438,31386,31374,31339,31305,31398,31508,31357,31438,31403,,,,,,,,,,,,,
Gesture 1,13:35:13.196,31444,31415,31514,31456,31444,31398,31427,31438,31433,31462,31462,31415,31386,31386,31462,31415,31415,31415,31398,31421,31491,31543,31398,31456,31403,31415,31421,31532,31462,31462,31380,,,,,,,,,,,,,
Gesture 1,13:35:13.210,31421,31409,31386,31351,31374,31374,31386,31403,31415,31456,31456,31386,31357,31305,31415,31351,31322,31386,31299,31421,31386,31421,31456,31421,31363,31322,31322,31403,31374,31415,31421,,,,,,,,,,,,,
Gesture 1,13:35:13.396,31369,31450,31462,31467,31415,31374,31398,31433,31392,31438,31462,31386,31398,31363,31351,31264,31404,31421,31339,31351,31433,31438,31479,31403,31357,31392,31363,31433,31444,31473,31450,,,,,,,,,,,,,
Gesture 1,13:35:13.496,31456,31462,31398,31421,31380,31368,31450,31351,31421,31450,31467,31450,31450,31334,31409,31398,31409,31351,31450,31392,31403,31438,31485,31421,31432,31432,31363,31450,31432,31514,31427,,,,,,,,,,,,,
Gesture 1,13:35:13.516,31427,31427,31386,31450,31421,31357,31369,31392,31444,31392,31497,31444,31380,31339,31392,31363,31310,31409,31398,31415,31450,31514,31421,31415,31438,31398,31409,31427,31467,31508,31497,,,,,,,,,,,,,
Gesture 1,13:35:13.615,31427,31427,31473,31386,31415,31339,31351,31392,31427,31322,31450,31374,31403,31305,31398,31374,31357,31380,31386,31456,31386,31432,31444,31479,31380,31409,31368,31485,31363,31444,31351,,,,,,,,,,,,,
Gesture 1,13:35:13.796,31403,31450,31444,31456,31380,31380,31409,31473,31467,31403,31444,31450,31415,31369,31398,31438,31421,31421,31339,31409,31409,31502,31374,31403,31421,31351,31374,31398,31462,31526,31479,,,,,,,,,,,,,
Gesture 1,13:35:13.897,31403,31456,31433,31409,31421,31322,31392,31380,31409,31427,31485,31409,31415,31316,31345,31392,31386,31386,31380,31438,31432,31479,31398,31386,31368,31339,31316,31374,31456,31473,31497,,,,,,,,,,,,,
Gesture 1,13:35:13.996,31403,31421,31398,31520,31380,31339,31409,31433,31456,31438,31561,31479,31450,31351,31438,31462,31415,31433,31287,31398,31473,31467,31392,31415,31421,31380,31363,31380,31450,31508,31421,,,,,,,,,,,,,
Gesture 1,13:35:14.096,31432,31369,31444,31380,31409,31403,31432,31357,31433,31462,31438,31456,31427,31334,31357,31351,31374,31351,31368,31415,31398,31450,31427,31398,31386,31403,31316,31409,31479,31444,31409,,,,,,,,,,,,,
Gesture 1,13:35:14.196,31380,31415,31520,31392,31421,31421,31444,31374,31473,31380,31502,31363,31421,31421,31398,31421,31415,31438,31427,31398,31450,31537,31444,31415,31427,31415,31363,31421,31374,31450,31403,,,,,,,,,,,,,
Gesture 1,13:35:14.297,31403,31450,31456,31374,31427,31363,31363,31473,31421,31374,31497,31328,31409,31374,31374,31357,31438,31374,31357,31433,31409,31467,31386,31386,31409,31351,31380,31351,31368,31456,31462,,,,,,,,,,,,,
Gesture 1,13:35:14.396,31415,31351,31514,31444,31409,31369,31369,31433,31450,31409,31444,31392,31456,31351,31374,31450,31415,31421,31328,31403,31351,31497,31432,31415,31403,31421,31351,31392,31467,31403,31392,,,,,,,,,,,,,
Gesture 1,13:35:14.411,31392,31485,31450,31403,31357,31328,31310,31433,31427,31357,31520,31351,31380,31328,31374,31415,31392,31380,31374,31380,31368,31491,31427,31462,31345,31380,31374,31369,31287,31491,31433,,,,,,,,,,,,,
Gesture 1,13:35:14.597,31374,31421,31334,31403,31368,31444,31374,31195,31432,31421,31467,31450,31392,31374,31392,31392,31328,31409,31374,31398,31415,31467,31450,31421,31386,31409,31374,31392,31415,31491,31415,,,,,,,,,,,,,
Gesture 1,13:35:14.696,31450,31369,31497,31328,31310,31427,31351,31456,31398,31403,31502,31403,31345,31322,31368,31235,31392,31328,31305,31334,31403,31502,31456,31421,31421,31357,31339,31357,31351,31432,31432,,,,,,,,,,,,,
Gesture 1,13:35:14.796,31398,31415,31485,31368,31392,31334,31351,31357,31409,31392,31462,31415,31403,31345,31351,31363,31386,31398,31386,31444,31473,31438,31456,31438,31287,31374,31322,31438,31392,31438,31392,,,,,,,,,,,,,
Gesture 1,13:35:14.896,31427,31398,31450,31450,31433,31380,31322,31409,31368,31403,31502,31374,31444,31363,31275,31311,31450,31374,31357,31380,31357,31415,31433,31432,31345,31392,31357,31386,31520,31479,31444,,,,,,,,,,,,,
Gesture 1,13:35:14.997,31398,31409,31427,31392,31409,31345,31334,31334,31369,31403,31444,31392,31409,31357,31374,31357,31259,31351,31374,31357,31409,31450,31444,31427,31409,31357,31386,31374,31345,31456,31415,,,,,,,,,,,,,
Gesture 1,13:35:15.096,31415,31444,31514,31398,31363,31421,31415,31241,31403,31316,31491,31339,31409,31380,31374,31421,31421,31427,31386,31368,31433,31444,31479,31415,31235,31334,31403,31398,31374,31502,31339,,,,,,,,,,,,,
Gesture 1,13:35:15.111,31433,31450,31433,31450,31351,31409,31409,31177,31368,31473,31462,31444,31427,31339,31398,31392,31328,31409,31380,31433,31456,31549,31450,31398,31235,31398,31363,31392,31427,31485,31328,,,,,,,,,,,,,
Gesture 1,13:35:15.297,31392,31409,31497,31380,31398,31368,31438,31340,31433,31409,31450,31427,31409,31374,31409,31363,31450,31374,31386,31444,31456,31473,31497,31456,31264,31433,31380,31398,31403,31473,31369,,,,,,,,,,,,,
Gesture 1,13:35:15.396,31450,31357,31491,31427,31433,31334,31374,31224,31421,31339,31456,31403,31427,31427,31334,31398,31403,31386,31421,31403,31473,31432,31363,31421,31200,31403,31369,31456,31374,31497,31398,,,,,,,,,,,,,
Gesture 1,13:35:15.496,31438,31368,31502,31427,31456,31398,31392,31444,31456,31369,31508,31392,31398,31299,31392,31241,31270,31409,31351,31427,31409,31473,31438,31427,31433,31409,31310,31415,31421,31485,31299,,,,,,,,,,,,,
Gesture 1,13:35:15.597,31363,31415,31479,31369,31328,31409,31403,31131,31433,31351,31444,31339,31398,31339,31339,31351,31485,31380,31369,31386,31369,31432,31462,31415,31357,31386,31368,31415,31328,31520,31398,,,,,,,,,,,,,
Gesture 1,13:35:15.696,31403,31438,31398,31368,31369,31392,31345,31241,31421,31409,31450,31421,31392,31328,31380,31479,31374,31374,31380,31409,31444,31462,31450,31502,31253,31351,31357,31450,31316,31432,31363,,,,,,,,,,,,,
Gesture 1,13:35:15.797,31369,31403,31438,31398,31433,31398,31374,31386,31363,31380,31508,31322,31369,31403,31374,31282,31229,31386,31415,31444,31409,31485,31421,31357,31380,31369,31403,31351,31374,31438,31357,,,,,,,,,,,,,
Gesture 1,13:35:15.897,31462,31421,31502,31398,31328,31322,31351,31380,31409,31444,31438,31386,31421,31421,31380,31328,31264,31403,31363,31438,31392,31485,31438,31415,31293,31403,31363,31462,31409,31467,31473,,,,,,,,,,,,,
Gesture 1,13:35:15.996,31415,31444,31427,31392,31368,31334,31357,31194,31427,31398,31502,31345,31427,31386,31421,31421,31374,31467,31398,31450,31444,31491,31392,31374,31293,31380,31386,31345,31432,31456,31462,,,,,,,,,,,,,
Gesture 1,13:35:16.097,31433,31456,31438,31351,31380,31351,31299,31299,31403,31357,31485,31374,31328,31374,31322,31369,31374,31386,31345,31380,31444,31433,31369,31386,31270,31339,31427,31316,31368,31450,31467,,,,,,,,,,,,,
Gesture 1,13:35:16.196,31398,31403,31462,31433,31363,31351,31351,31223,31409,31450,31421,31421,31409,31345,31339,31305,31386,31310,31334,31351,31380,31467,31392,31316,31183,31310,31322,31386,31421,31479,31398,,,,,,,,,,,,,
Gesture 1,13:35:16.297,31409,31369,31479,31374,31409,31345,31339,31345,31380,31363,31415,31398,31334,31386,31415,31270,31224,31386,31398,31415,31380,31473,31427,31386,31403,31363,31409,31409,31374,31444,31363,,,,,,,,,,,,,
Gesture 1,13:35:16.396,31328,31421,31438,31403,31392,31386,31386,31409,31345,31432,31467,31403,31403,31322,31450,31374,31258,31357,31357,31345,31421,31450,31427,31351,31438,31334,31345,31392,31421,31473,31415,,,,,,,,,,,,,
Gesture 1,13:35:16.417,31438,31374,31212,31310,31415,31409,31438,31374,31427,31421,31282,31310,31409,31444,31363,31386,31398,31409,31392,31421,31334,31305,31415,31421,31386,31421,31409,31403,31334,31264,31357,,,,,,,,,,,,,
Gesture 1,13:35:16.596,31409,31444,31473,31456,31409,31339,31368,31363,31403,31444,31497,31392,31386,31322,31363,31357,31259,31369,31368,31386,31456,31491,31392,31467,31438,31415,31339,31368,31456,31497,31497,,,,,,,,,,,,,
Gesture 1,13:35:16.696,31386,31380,31409,31363,31444,31421,31386,31409,31339,31502,31444,31398,31432,31363,31374,31415,31386,31363,31380,31421,31415,31456,31444,31427,31305,31403,31415,31427,31415,31444,31444,,,,,,,,,,,,,
Gesture 1,13:35:16.796,31403,31421,31508,31363,31398,31345,31415,31357,31368,31345,31526,31432,31363,31380,31421,31345,31322,31357,31363,31398,31456,31456,31456,31444,31223,31386,31310,31398,31392,31491,31386,,,,,,,,,,,,,
Gesture 1,13:35:16.896,31427,31392,31450,31374,31421,31316,31368,31218,31462,31421,31444,31380,31450,31345,31287,31363,31293,31374,31334,31386,31386,31409,31537,31415,31276,31322,31287,31438,31334,31421,31374,,,,,,,,,,,,,
Gesture 1,13:35:16.997,31473,31427,31508,31421,31415,31386,31421,31276,31444,31438,31485,31392,31380,31380,31380,31433,31497,31403,31374,31438,31444,31502,31345,31438,31444,31316,31368,31444,31438,31543,31409,,,,,,,,,,,,,
Gesture 1,13:35:17.097,31450,31398,31456,31433,31392,31392,31380,31258,31421,31409,31473,31444,31380,31305,31380,31427,31334,31357,31380,31438,31427,31485,31409,31380,31293,31456,31374,31467,31479,31514,31409,,,,,,,,,,,,,
Gesture 1,13:35:17.110,31415,31433,31526,31456,31432,31322,31438,31403,31368,31345,31549,31374,31427,31339,31409,31374,31258,31427,31310,31456,31450,31497,31444,31427,31508,31467,31305,31403,31334,31520,31409,,,,,,,,,,,,,
Gesture 1,13:35:17.214,31409,31398,31432,31386,31368,31339,31374,31392,31328,31409,31491,31398,31351,31299,31357,31206,31247,31403,31345,31363,31427,31479,31409,31398,31450,31363,31380,31409,31357,31450,31415,,,,,,,,,,,,,
Gesture 1,13:35:17.313,31368,31421,31532,31380,31427,31462,31392,31392,31369,31427,31526,31386,31462,31380,31368,31345,31415,31421,31357,31456,31433,31497,31462,31433,31340,31386,31386,31479,31473,31520,31386,,,,,,,,,,,,,
Gesture 1,13:35:17.496,31363,31386,31491,31415,31497,31421,31345,31305,31427,31374,31502,31351,31456,31322,31363,31398,31403,31351,31386,31473,31403,31526,31421,31438,31224,31380,31328,31473,31368,31432,31415,,,,,,,,,,,,,
Gesture 1,13:35:17.596,31444,31456,31427,31415,31450,31444,31403,31473,31386,31427,31502,31339,31502,31357,31316,31200,31345,31357,31380,31421,31409,31450,31392,31374,31386,31374,31339,31450,31462,31450,31392,,,,,,,,,,,,,
Gesture 1,13:35:17.696,31415,31386,31473,31450,31485,31386,31345,31462,31357,31380,31473,31403,31450,31351,31351,31247,31299,31334,31386,31392,31421,31438,31357,31398,31305,31357,31310,31427,31369,31438,31409,,,,,,,,,,,,,
Gesture 1,13:35:17.796,31363,31415,31462,31462,31508,31421,31409,31287,31421,31409,31456,31403,31479,31473,31398,31456,31403,31374,31386,31462,31421,31467,31450,31374,31247,31479,31409,31479,31403,31450,31351,,,,,,,,,,,,,
Gesture 1,13:35:17.896,31316,31369,31473,31386,31450,31363,31374,31392,31334,31345,31403,31345,31398,31357,31363,31432,31316,31339,31403,31398,31433,31467,31398,31450,31322,31345,31363,31438,31328,31456,31392,,,,,,,,,,,,,
Gesture 1,13:35:17.996,31363,31444,31433,31456,31409,31427,31369,31264,31351,31368,31427,31427,31380,31398,31398,31450,31467,31392,31392,31502,31467,31502,31409,31386,31287,31403,31467,31473,31433,31497,31380,,,,,,,,,,,,,
Gesture 1,13:35:18.096,31403,31380,31368,31427,31467,31421,31392,31398,31339,31427,31398,31432,31421,31398,31368,31247,31415,31380,31357,31450,31467,31456,31386,31409,31322,31427,31334,31438,31450,31403,31456,,,,,,,,,,,,,
Gesture 1,13:35:18.196,31392,31421,31479,31392,31409,31368,31328,31514,31386,31427,31438,31462,31398,31398,31421,31229,31409,31386,31368,31444,31514,31508,31450,31351,31427,31398,31351,31398,31415,31503,31438,,,,,,,,,,,,,
Gesture 1,13:35:18.211,31398,31386,31392,31380,31386,31363,31398,31276,31392,31380,31427,31403,31403,31386,31351,31357,31351,31374,31380,31421,31421,31398,31415,31351,31345,31345,31357,31368,31386,31403,31398,,,,,,,,,,,,,
Gesture 1,13:35:18.311,31334,31415,31316,31444,31421,31386,31374,31473,31357,31310,31421,31386,31438,31438,31421,31258,31259,31380,31427,31398,31427,31421,31438,31328,31415,31380,31392,31473,31485,31462,31473,,,,,,,,,,,,,
Gesture 1,13:35:18.411,31392,31415,31438,31305,31403,31334,31316,31427,31398,31386,31386,31328,31438,31299,31316,31351,31334,31374,31409,31398,31322,31380,31398,31351,31427,31351,31322,31427,31357,31438,31374,,,,,,,,,,,,,
Gesture 1,13:35:18.596,31351,31351,31438,31374,31433,31386,31345,31351,31328,31380,31433,31421,31427,31409,31409,31253,31223,31369,31380,31386,31403,31438,31380,31357,31351,31392,31386,31421,31467,31467,31316,,,,,,,,,,,,,
Gesture 1,13:35:18.697,31386,31409,31450,31432,31421,31374,31310,31444,31398,31374,31450,31415,31386,31357,31322,31253,31293,31374,31374,31450,31392,31415,31433,31334,31403,31334,31380,31380,31374,31403,31345,,,,,,,,,,,,,
Gesture 1,13:35:18.796,31334,31310,31374,31473,31473,31485,31369,31195,31392,31351,31403,31392,31433,31444,31374,31363,31497,31386,31403,31409,31427,31462,31392,31351,31392,31369,31374,31415,31444,31427,31403,,,,,,,,,,,,,
Gesture 1,13:35:18.896,31432,31409,31491,31403,31403,31380,31386,31264,31322,31427,31444,31368,31351,31363,31357,31409,31403,31328,31374,31409,31345,31444,31421,31398,31311,31339,31357,31415,31444,31456,31421,,,,,,,,,,,,,
Gesture 1,13:35:18.996,31310,31363,31433,31433,31433,31462,31415,31276,31351,31374,31409,31345,31456,31398,31444,31386,31287,31403,31456,31438,31380,31427,31386,31351,31357,31380,31421,31392,31473,31456,31415,,,,,,,,,,,,,
Gesture 1,13:35:19.096,31386,31334,31479,31368,31374,31339,31339,31241,31374,31392,31467,31374,31392,31398,31351,31345,31351,31322,31339,31351,31392,31456,31462,31368,31287,31368,31363,31450,31415,31467,31369,,,,,,,,,,,,,
Gesture 1,13:35:19.196,31374,31398,31438,31310,31473,31357,31345,31374,31392,31316,31427,31345,31438,31403,31345,31427,31386,31363,31380,31491,31433,31427,31403,31374,31218,31398,31432,31450,31386,31444,31339,,,,,,,,,,,,,
Gesture 1,13:35:19.297,31427,31409,31386,31398,31357,31363,31334,31526,31427,31403,31473,31421,31403,31374,31357,31200,31374,31334,31322,31427,31398,31497,31444,31334,31357,31351,31363,31345,31386,31409,31398,,,,,,,,,,,,,
Gesture 1,13:35:19.396,31380,31351,31398,31334,31462,31363,31421,31223,31374,31392,31450,31322,31450,31345,31345,31485,31444,31316,31403,31450,31438,31438,31398,31374,31235,31398,31363,31456,31374,31467,31386,,,,,,,,,,,,,
Gesture 1,13:35:19.496,31386,31421,31444,31438,31403,31409,31339,31357,31374,31415,31485,31398,31368,31380,31357,31374,31421,31386,31427,31380,31322,31456,31427,31409,31229,31357,31322,31409,31526,31438,31514,,,,,,,,,,,,,
Gesture 1,13:35:19.515,31386,31363,31462,31438,31409,31357,31339,31415,31386,31322,31438,31357,31433,31339,31357,31224,31276,31369,31398,31456,31427,31438,31380,31345,31380,31357,31339,31403,31351,31462,31299,,,,,,,,,,,,,
Gesture 1,13:35:19.696,31479,31462,31467,31392,31374,31363,31345,31392,31398,31386,31421,31450,31409,31374,31328,31491,31497,31398,31334,31403,31444,31456,31403,31386,31229,31328,31386,31427,31386,31421,31444,,,,,,,,,,,,,
Gesture 1,13:35:19.796,31392,31334,31374,31421,31386,31310,31374,31339,31363,31351,31450,31380,31415,31334,31386,31386,31427,31374,31374,31479,31421,31462,31450,31438,31398,31368,31310,31392,31374,31374,31415,,,,,,,,,,,,,
Gesture 1,13:35:19.896,31386,31392,31508,31357,31415,31357,31363,31473,31392,31398,31479,31374,31473,31415,31415,31288,31328,31398,31357,31421,31415,31514,31467,31462,31479,31409,31322,31467,31409,31491,31357,,,,,,,,,,,,,
Gesture 1,13:35:19.911,31334,31374,31403,31386,31473,31374,31368,31421,31363,31380,31427,31403,31403,31299,31409,31235,31224,31334,31386,31415,31450,31502,31403,31392,31444,31357,31368,31444,31398,31415,31363,,,,,,,,,,,,,
Gesture 2,13:35:20.096,31421,31403,31427,31339,31427,31345,31403,31421,31462,31398,31432,31351,31357,31357,31351,31241,31247,31392,31339,31450,31450,31444,31392,31427,31479,31339,31334,31368,31398,31456,31374,,,,,,,,,,,,,
Gesture 2,13:35:20.197,31415,31415,31473,31467,31456,31392,31310,31392,31403,31450,31479,31450,31409,31339,31415,31409,31462,31386,31386,31433,31415,31462,31415,31409,31374,31345,31409,31380,31444,31456,31351,,,,,,,,,,,,,
Gesture 2,13:35:20.296,31415,31479,31444,31491,31380,31392,31438,31444,31462,31398,31497,31497,31450,31415,31403,31427,31473,31398,31403,31415,31392,31485,31444,31433,31473,31403,31432,31415,31485,31526,31363,,,,,,,,,,,,,
Gesture 2,13:35:20.397,31398,31380,31345,31392,31450,31339,31386,31368,31386,31357,31438,31450,31438,31398,31363,31421,31444,31310,31392,31444,31427,31462,31438,31345,31374,31357,31345,31421,31462,31473,31345,,,,,,,,,,,,,
Gesture 2,13:35:20.496,31462,31363,31497,31415,31363,31415,31380,31409,31392,31363,31479,31415,31427,31415,31386,31427,31403,31369,31374,31386,31432,31432,31392,31444,31369,31386,31374,31386,31345,31427,31345,,,,,,,,,,,,,
Gesture 2,13:35:20.596,31322,31328,31462,31432,31374,31275,31427,31438,31403,31316,31462,31502,31363,31357,31380,31444,31444,31409,31398,31386,31403,31491,31386,31386,31380,31386,31392,31427,31403,31456,31369,,,,,,,,,,,,,
Gesture 2,13:35:20.696,31386,31363,31456,31421,31432,31351,31380,31456,31374,31403,31467,31380,31392,31357,31351,31438,31380,31363,31392,31444,31403,31508,31380,31398,31369,31374,31345,31438,31438,31473,31369,,,,,,,,,,,,,
Gesture 2,13:35:20.797,31421,31374,31392,31438,31450,31345,31386,31409,31450,31421,31392,31421,31444,31386,31380,31450,31380,31368,31374,31415,31543,31380,31351,31398,31433,31322,31444,31374,31438,31427,31415,,,,,,,,,,,,,
Gesture 2,13:35:20.896,31421,31345,31485,31421,31374,31374,31380,31363,31409,31339,31532,31432,31386,31409,31374,31363,31473,31421,31363,31380,31462,31438,31438,31403,31403,31392,31427,31427,31450,31502,31334,,,,,,,,,,,,,
Gesture 2,13:35:20.996,31363,31293,31415,31404,31467,31392,31398,31427,31427,31374,31421,31438,31456,31403,31403,31345,31485,31386,31409,31432,31421,31392,31392,31392,31363,31386,31403,31497,31368,31392,31310,,,,,,,,,,,,,
Gesture 2,13:35:21.096,31409,31345,31473,31345,31380,31403,31374,31392,31409,31328,31433,31334,31427,31421,31398,31438,31369,31374,31438,31415,31415,31456,31392,31322,31433,31398,31409,31427,31409,31432,31322,,,,,,,,,,,,,
Gesture 2,13:35:21.197,31438,31386,31520,31415,31398,31433,31386,31363,31421,31403,31502,31421,31386,31392,31363,31444,31456,31467,31421,31409,31351,31462,31456,31369,31409,31421,31386,31386,31450,31467,31386,,,,,,,,,,,,,
Gesture 2,13:35:21.296,31398,31392,31479,31363,31374,31380,31421,31374,31450,31345,31433,31427,31380,31374,31374,31403,31386,31444,31368,31409,31479,31456,31456,31368,31433,31444,31398,31368,31404,31485,31380,,,,,,,,,,,,,
Gesture 2,13:35:21.396,31403,31386,31398,31444,31456,31334,31403,31415,31409,31339,31386,31398,31380,31374,31380,31456,31409,31345,31421,31403,31398,31392,31403,31456,31386,31374,31363,31380,31386,31421,31403,,,,,,,,,,,,,
Gesture 2,13:35:21.496,31415,31398,31392,31374,31415,31345,31386,31427,31438,31421,31427,31374,31368,31363,31369,31438,31421,31467,31351,31403,31363,31456,31369,31421,31403,31392,31368,31386,31421,31450,31427,,,,,,,,,,,,,
Gesture 2,13:35:21.596,31403,31392,31456,31421,31392,31398,31403,31357,31398,31322,31409,31409,31421,31450,31328,31421,31438,31380,31357,31432,31409,31456,31421,31345,31339,31403,31421,31421,31403,31432,31380,,,,,,,,,,,,,
Gesture 2,13:35:21.697,31415,31357,31444,31444,31450,31339,31415,31363,31427,31369,31415,31421,31380,31357,31398,31421,31427,31392,31427,31421,31374,31497,31363,31380,31409,31357,31368,31473,31502,31450,31369,,,,,,,,,,,,,
Gesture 2,13:35:21.796,31415,31369,31462,31403,31433,31380,31386,31444,31363,31363,31438,31403,31409,31368,31374,31456,31479,31363,31409,31403,31415,31467,31433,31398,31368,31363,31374,31444,31409,31485,31334,,,,,,,,,,,,,
Gesture 2,13:35:21.896,31427,31392,31432,31409,31473,31316,31392,31415,31415,31369,31456,31392,31444,31398,31386,31433,31374,31357,31380,31473,31444,31438,31409,31392,31467,31403,31305,31386,31357,31427,31369,,,,,,,,,,,,,
Gesture 2,13:35:21.996,31427,31392,31409,31398,31427,31421,31409,31456,31462,31351,31444,31409,31403,31467,31421,31456,31491,31357,31369,31415,31433,31415,31392,31374,31462,31334,31421,31450,31456,31456,31462,,,,,,,,,,,,,
Gesture 2,13:35:22.097,31415,31386,31462,31432,31421,31380,31363,31450,31438,31380,31450,31438,31433,31386,31403,31392,31438,31363,31398,31433,31380,31386,31403,31438,31404,31386,31368,31409,31415,31479,31392,,,,,,,,,,,,,
Gesture 2,13:35:22.196,31450,31444,31479,31444,31450,31310,31392,31450,31368,31415,31485,31403,31409,31368,31392,31450,31467,31415,31386,31485,31450,31485,31433,31444,31444,31444,31339,31444,31392,31467,31322,,,,,,,,,,,,,
Gesture 2,13:35:22.297,31409,31339,31456,31432,31380,31334,31328,31450,31427,31450,31479,31363,31380,31409,31299,31398,31485,31334,31334,31438,31450,31450,31450,31403,31398,31369,31403,31392,31438,31462,31392,,,,,,,,,,,,,
Gesture 2,13:35:22.397,31438,31369,31450,31415,31415,31368,31374,31421,31444,31363,31392,31368,31409,31374,31386,31584,31537,31508,31403,31386,31479,31444,31398,31427,31270,31363,31409,31427,31432,31450,31415,,,,,,,,,,,,,
Gesture 2,13:35:22.497,31351,31409,31403,31450,31369,31386,31334,31270,31374,31386,31427,31462,31444,31305,31357,31462,31444,31403,31386,31403,31479,31432,31444,31421,31258,31351,31339,31427,31444,31421,31380,,,,,,,,,,,,,
Gesture 2,13:35:22.514,31473,31363,31502,31450,31403,31462,31380,31403,31374,31392,31473,31450,31491,31415,31351,31473,31415,31368,31415,31427,31398,31421,31427,31456,31363,31386,31374,31450,31520,31409,31351,,,,,,,,,,,,,
