Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-06 15:00:12.375629-07:00,413.282354,297.7034075,324.0924586,335.5871272,411.3409699,356.9702474,328.7774904,402.2571496,367.8128542,378.3349289,386.6993652,374.0676892,367.6022702,353.8790295,382.3492075,432.5783088,391.0339412,313.9520678,346.8318275,336.2464837,389.083231,368.3371296,317.3753458,375.0145902,430.765533,416.8847823,351.4821035,364.404217,494.4667585,-0.420065,-0.577656,-0.577656,-0.577656,-0.496838,-0.49298,-0.49298,-0.49298,-0.472318,-0.497602,-0.490506,-0.483314,-0.542054,-0.38973,-0.329893,-0.266788,-0.456797,-0.545316,-0.608685,-0.517642,-0.520623,-0.500185,-0.484029,-0.522305,0.492674
2022-05-06 15:00:12.403428-07:00,411.4599924,298.8225403,324.910899,336.064315,410.4950881,358.6353246,327.6313097,402.3019727,367.4984572,378.6454182,385.2582266,374.3794364,367.7324211,356.9765311,382.3359219,434.0412295,392.1696439,313.4621609,346.8656251,337.3160856,388.9205116,370.9746359,318.6271075,373.3257916,431.9406774,413.0346759,351.8557131,365.3897541,496.7564205,-0.419631,-0.577919,-0.577919,-0.577919,-0.496318,-0.493103,-0.493103,-0.493103,-0.471655,-0.497607,-0.49049,-0.483276,-0.541334,-0.389914,-0.330024,-0.266867,-0.456232,-0.545723,-0.608169,-0.518111,-0.521131,-0.500541,-0.483314,-0.522237,0.493087
2022-05-06 15:00:12.463670-07:00,411.3872147,300.4754266,325.748331,337.0537568,410.2128052,356.7066058,329.9946869,401.3159234,367.7221965,379.0226898,384.9746048,374.138554,368.846385,353.7202626,383.7458659,433.6092985,392.5650215,314.8784933,347.260457,337.8740502,390.3952254,369.8703217,317.2187789,373.6155643,432.4978438,416.0387612,349.3261045,364.0694587,495.5510257,-0.419925,-0.577966,-0.577966,-0.577966,-0.496539,-0.493119,-0.493119,-0.493119,-0.471772,-0.4975,-0.490392,-0.483188,-0.541303,-0.389883,-0.329962,-0.26677,-0.456098,-0.545411,-0.608084,-0.517705,-0.520681,-0.500583,-0.483402,-0.522077,0.493128
2022-05-06 15:00:12.493679-07:00,410.7584416,300.5427956,325.3674582,333.914349,409.2656102,357.8222885,329.6336896,401.8063373,366.2991273,378.1619162,385.8715119,375.5771515,368.3562279,353.9691002,381.6331924,433.3651405,393.1723097,313.224331,346.666867,336.207905,388.980434,371.0122224,317.6041255,374.0811056,431.7983307,416.0872452,349.9507708,364.83201,493.3710633,-0.420013,-0.578458,-0.578458,-0.578458,-0.496592,-0.493562,-0.493562,-0.493562,-0.471966,-0.498117,-0.491032,-0.483852,-0.541653,-0.390375,-0.330512,-0.267371,-0.456744,-0.545636,-0.60861,-0.517933,-0.520905,-0.50049,-0.483553,-0.522645,0.492472
2022-05-06 15:00:12.553920-07:00,410.6062492,299.2947812,325.4278174,335.619691,410.709662,357.0249673,328.789046,401.9332202,367.9126717,378.8259385,383.567938,374.7764795,370.0452826,353.8057144,381.2649218,434.9859762,391.4246975,315.1067736,347.2336651,338.2304014,391.0591,370.3587624,317.6251476,374.8126662,430.0049286,414.7298091,350.4672566,363.4168421,495.584353,-0.419776,-0.578876,-0.578876,-0.578876,-0.496462,-0.494073,-0.494073,-0.494073,-0.471845,-0.498581,-0.491414,-0.484149,-0.541565,-0.390795,-0.330819,-0.267544,-0.457262,-0.5452,-0.609053,-0.51682,-0.519529,-0.500563,-0.483538,-0.523292,0.491725
2022-05-06 15:00:12.704293-07:00,412.7441572,300.5640451,326.0865204,336.041757,409.3782952,358.2283001,329.2268958,403.6643492,367.7258054,378.7669134,385.1735084,375.7793733,367.9573275,355.1672353,382.454352,434.3111668,393.1936585,313.6045801,346.4347544,337.7189289,390.6363894,369.7139967,316.9395755,371.8022774,430.4745412,415.8304568,350.9475521,363.7203201,494.3812089,-0.419549,-0.579056,-0.579056,-0.579056,-0.49627,-0.494347,-0.494347,-0.494347,-0.471588,-0.498801,-0.491582,-0.484263,-0.541321,-0.391097,-0.331087,-0.267773,-0.457165,-0.546316,-0.608895,-0.518615,-0.5216,-0.500622,-0.483352,-0.52356,0.491562
2022-05-06 15:00:12.705795-07:00,412.4415033,297.590862,326.2946155,334.7811675,410.4518305,358.922217,330.8318516,403.2758155,366.9912878,379.9529478,386.9065912,374.1857058,367.6467195,353.9481596,381.9321736,434.7916467,393.7768946,313.0154913,347.8694861,336.7979562,389.1934223,367.8340282,317.9049666,373.6229239,431.4982943,414.1071817,350.909879,362.7091129,497.4179076,-0.419533,-0.578736,-0.578736,-0.578736,-0.496055,-0.493895,-0.493895,-0.493895,-0.471576,-0.49857,-0.491357,-0.484046,-0.541229,-0.390803,-0.330732,-0.267355,-0.45677,-0.545944,-0.608593,-0.518135,-0.521075,-0.500686,-0.48333,-0.523315,0.49178
2022-05-06 15:00:12.706385-07:00,411.8638376,299.1449127,325.3998983,334.6145552,410.197248,357.1335333,328.602903,402.620139,367.3159423,377.6497184,386.4936053,376.0802437,369.4387842,353.985212,380.7463594,435.6267462,392.5700246,313.6553147,347.2653317,334.3591667,390.2382276,368.7299092,316.7305082,375.9398398,431.3786561,416.3918779,350.327135,363.3376739,495.8924693,-0.419513,-0.578583,-0.578583,-0.578583,-0.496089,-0.493695,-0.493695,-0.493695,-0.471512,-0.498363,-0.491144,-0.483827,-0.541111,-0.390697,-0.330634,-0.267271,-0.456845,-0.545472,-0.608678,-0.517183,-0.519933,-0.500819,-0.483192,-0.523034,0.492079
2022-05-06 15:00:12.763715-07:00,412.8103505,298.8374352,325.4017988,335.3551181,409.5877933,356.6948953,329.9023541,400.9374967,368.9658752,378.0022881,387.6573341,374.8627691,369.1846424,352.2475248,381.2986044,433.0974092,391.4732107,313.8287672,346.489213,337.132793,390.2511369,368.7791527,317.9938272,372.1493748,433.5195918,415.8977558,349.7316821,364.5745388,494.5352951,-0.41936,-0.578883,-0.578883,-0.578883,-0.495947,-0.493969,-0.493969,-0.493969,-0.471417,-0.498718,-0.491486,-0.484154,-0.541063,-0.391004,-0.330914,-0.267515,-0.456826,-0.545953,-0.608608,-0.517687,-0.520437,-0.50094,-0.483042,-0.52337,0.491744
2022-05-06 15:00:12.793663-07:00,411.7230392,297.0837241,325.2483135,334.5228615,409.7052589,355.8544703,330.3187654,402.1376914,368.3261991,380.3107969,385.4336924,372.5420961,367.4850849,354.2773453,381.6518468,433.7257638,391.6643013,313.4579026,347.7019932,334.9818146,389.1908104,368.5057783,316.1848818,372.4580062,430.7225125,416.7517669,351.1076279,363.5174592,495.0883618,-0.419282,-0.579023,-0.579023,-0.579023,-0.495872,-0.494238,-0.494238,-0.494238,-0.471412,-0.498942,-0.491689,-0.484335,-0.541062,-0.391217,-0.331079,-0.267623,-0.456982,-0.546638,-0.6087,-0.518882,-0.521833,-0.500817,-0.483095,-0.523629,0.491544
