Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-08 14:54:08.424847-07:00,399.3368875,299.5145678,325.6796373,332.1065987,399.7488798,349.4470803,325.9004114,390.6112629,359.211119,372.3423461,380.4421583,366.2394158,363.9432301,342.6003001,368.6085701,416.3565329,380.8200338,312.4278333,345.6877105,330.384588,383.202531,363.9543285,313.1424019,364.5777388,400.9598979,405.1919625,341.3712183,353.3170094,455.9608391,-0.420065,-0.577656,-0.577656,-0.577656,-0.496838,-0.49298,-0.49298,-0.49298,-0.472318,-0.497602,-0.490506,-0.483314,-0.542054,-0.38973,-0.329893,-0.266788,-0.456797,-0.545316,-0.608685,-0.517642,-0.520623,-0.500185,-0.484029,-0.522305,0.492674
2022-05-08 14:54:08.574931-07:00,398.552774,299.880185,326.4395447,330.7280014,400.4335944,349.5983512,326.4291805,390.3109515,359.2276316,372.3557806,379.8221166,365.4681879,364.8116396,343.3240797,369.1059905,415.2065428,381.0005726,313.4718658,345.416331,330.0326371,384.1074764,362.5702497,313.8869561,364.7283509,399.4100705,405.7418441,340.6936625,352.9187989,457.1788868,-0.419631,-0.577919,-0.577919,-0.577919,-0.496318,-0.493103,-0.493103,-0.493103,-0.471655,-0.497607,-0.49049,-0.483276,-0.541334,-0.389914,-0.330024,-0.266867,-0.456232,-0.545723,-0.608169,-0.518111,-0.521131,-0.500541,-0.483314,-0.522237,0.493087
2022-05-08 14:54:08.577052-07:00,399.1714864,301.045588,327.2003055,331.7575892,400.8602534,349.3104438,325.5966436,389.6383969,359.2431843,373.3513674,381.0790654,366.8813749,363.881182,343.8578098,369.2885414,415.5103932,378.780117,311.9406092,345.222946,330.3593988,383.2985528,364.0958352,313.2956734,364.0700032,398.5800575,404.3370723,340.9751125,353.4605421,455.5126145,-0.419925,-0.577966,-0.577966,-0.577966,-0.496539,-0.493119,-0.493119,-0.493119,-0.471772,-0.4975,-0.490392,-0.483188,-0.541303,-0.389883,-0.329962,-0.26677,-0.456098,-0.545411,-0.608084,-0.517705,-0.520681,-0.500583,-0.483402,-0.522077,0.493128
2022-05-08 14:54:08.577744-07:00,398.0868543,301.1040973,327.2980645,331.097028,399.8469643,348.072102,325.9154527,391.1812192,360.1922736,373.3700142,380.6184256,365.3882103,363.4565363,342.4847949,369.7696335,416.4373805,378.6972941,311.1806536,345.4503515,330.7100802,384.8700364,362.6063101,314.3409516,363.1420127,398.3638178,404.2597674,340.8012718,352.2789635,457.1360418,-0.420013,-0.578458,-0.578458,-0.578458,-0.496592,-0.493562,-0.493562,-0.493562,-0.471966,-0.498117,-0.491032,-0.483852,-0.541653,-0.390375,-0.330512,-0.267371,-0.456744,-0.545636,-0.60861,-0.517933,-0.520905,-0.50049,-0.483553,-0.522645,0.492472
2022-05-08 14:54:08.605312-07:00,397.7810397,300.4906175,326.3698141,332.4585565,400.6467576,348.5222488,324.6748081,390.7331365,358.1971098,370.5316614,380.1207322,367.3585867,364.3321095,342.4382406,367.9457967,415.1205908,379.5251323,313.5218045,346.5092842,330.0599015,383.6151861,363.1522721,311.1596811,363.9304701,398.9984053,405.466011,340.8934197,352.5099605,459.3016829,-0.419776,-0.578876,-0.578876,-0.578876,-0.496462,-0.494073,-0.494073,-0.494073,-0.471845,-0.498581,-0.491414,-0.484149,-0.541565,-0.390795,-0.330819,-0.267544,-0.457262,-0.5452,-0.609053,-0.51682,-0.519529,-0.500563,-0.483538,-0.523292,0.491725
2022-05-08 14:54:08.694967-07:00,399.6397521,299.9065759,325.2397266,331.0802878,400.8244482,349.6212719,326.352218,390.2273462,359.9999784,372.0730686,378.8749873,366.2498749,365.3981622,343.8140675,368.5853551,416.744033,380.1479171,313.0099625,345.8472045,331.9214844,384.2413543,362.6773776,314.6315881,364.4743644,399.6214756,403.6132714,341.1728842,353.3702099,455.0511029,-0.419549,-0.579056,-0.579056,-0.579056,-0.49627,-0.494347,-0.494347,-0.494347,-0.471588,-0.498801,-0.491582,-0.484263,-0.541321,-0.391097,-0.331087,-0.267773,-0.457165,-0.546316,-0.608895,-0.518615,-0.5216,-0.500622,-0.483352,-0.52356,0.491562
2022-05-08 14:54:08.724769-07:00,398.5359405,299.2283657,324.7990083,331.3270552,401.4339339,350.912012,325.6061033,389.7325938,359.9091011,372.7887497,378.8125642,366.796453,365.5394603,342.6251419,368.2144526,416.1253771,380.3207183,311.828944,344.7277456,330.5940119,384.5995206,364.2018023,314.5307382,365.7088056,399.0570438,403.8684867,340.6124121,353.7960813,455.8719307,-0.419533,-0.578736,-0.578736,-0.578736,-0.496055,-0.493895,-0.493895,-0.493895,-0.471576,-0.49857,-0.491357,-0.484046,-0.541229,-0.390803,-0.330732,-0.267355,-0.45677,-0.545944,-0.608593,-0.518135,-0.521075,-0.500686,-0.48333,-0.523315,0.49178
2022-05-08 14:54:08.784842-07:00,399.0505539,299.4700562,327.002721,330.4922794,399.5006698,350.2430715,324.0699453,390.2671646,359.705048,371.2608555,382.2222674,368.9756772,363.8698503,342.4327376,368.0188414,414.554991,380.8288423,313.2269444,345.3737849,330.4670893,385.2922033,362.5889951,312.5817348,365.2881907,398.3832679,404.3795451,340.3555325,353.2398476,455.6249913,-0.419513,-0.578583,-0.578583,-0.578583,-0.496089,-0.493695,-0.493695,-0.493695,-0.471512,-0.498363,-0.491144,-0.483827,-0.541111,-0.390697,-0.330634,-0.267271,-0.456845,-0.545472,-0.608678,-0.517183,-0.519933,-0.500819,-0.483192,-0.523034,0.492079
2022-05-08 14:54:08.844902-07:00,399.4354206,301.4170262,326.2376304,331.8777208,401.1346149,348.4481885,324.0654037,389.4811373,358.5816761,371.3551011,378.9601872,365.9974323,364.1353695,341.8810302,368.6138175,416.6615719,381.1237023,313.234505,344.2783896,331.1181322,382.6962392,362.836251,312.6291934,364.0254908,398.078614,405.3327433,341.1672048,352.0855901,456.5277348,-0.41936,-0.578883,-0.578883,-0.578883,-0.495947,-0.493969,-0.493969,-0.493969,-0.471417,-0.498718,-0.491486,-0.484154,-0.541063,-0.391004,-0.330914,-0.267515,-0.456826,-0.545953,-0.608608,-0.517687,-0.520437,-0.50094,-0.483042,-0.52337,0.491744
2022-05-08 14:54:08.934959-07:00,400.05013,301.2089137,325.04309,331.9919585,400.399203,350.9825055,325.0986218,389.8303565,358.7297595,370.6598069,379.7447419,365.7740966,363.2021169,343.0633276,367.2168383,413.5208887,379.7780256,312.6334408,345.8343355,328.277834,384.2295729,364.3777507,313.5964504,364.7538055,398.9519657,404.9052662,340.496737,353.9595074,456.6065546,-0.419282,-0.579023,-0.579023,-0.579023,-0.495872,-0.494238,-0.494238,-0.494238,-0.471412,-0.498942,-0.491689,-0.484335,-0.541062,-0.391217,-0.331079,-0.267623,-0.456982,-0.546638,-0.6087,-0.518882,-0.521833,-0.500817,-0.483095,-0.523629,0.491544
