Time,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-08 14:56:55.912351-07:00,14:21:28.975872-07:00,398.362232,300.8659753,326.5974692,333.1519224,399.5065515,347.3880499,325.470795,390.2959342,358.1422085,371.8832161,379.480161,366.3060948,362.7754887,343.1491193,368.4757424,418.1102626,380.4592527,314.2959445,344.7411399,329.0985517,385.1923463,363.4967567,314.4399258,363.9321545,397.7667194,406.6808203,340.1615174,354.0808728,455.9906559,-0.420065,-0.577656,-0.577656,-0.577656,-0.496838,-0.49298,-0.49298,-0.49298,-0.472318,-0.497602,-0.490506,-0.483314,-0.542054,-0.38973,-0.329893,-0.266788,-0.456797,-0.545316,-0.608685,-0.517642,-0.520623,-0.500185,-0.484029,-0.522305,0.492674
2022-05-08 14:56:55.942782-07:00,14:21:29.006513-07:00,397.4480319,298.4563602,325.6205643,331.8551408,399.8758211,348.6525516,324.4593238,390.8526949,357.9413111,373.3146792,381.0948313,366.3683024,364.2846468,340.791405,367.8825666,415.5754625,379.1557748,312.6118934,345.7633936,329.0512723,383.6569434,362.8518742,315.0033578,362.7190809,401.0915448,405.2910609,340.8737015,351.6083501,457.1218618,-0.419631,-0.577919,-0.577919,-0.577919,-0.496318,-0.493103,-0.493103,-0.493103,-0.471655,-0.497607,-0.49049,-0.483276,-0.541334,-0.389914,-0.330024,-0.266867,-0.456232,-0.545723,-0.608169,-0.518111,-0.521131,-0.500541,-0.483314,-0.522237,0.493087
2022-05-08 14:56:56.002683-07:00,14:21:29.066975-07:00,397.1645546,299.9581391,324.0826391,331.5390503,398.4916145,348.3731463,324.5378603,391.6409388,358.6476746,372.5421963,379.2960978,366.7964179,363.792938,342.1397022,370.2855837,416.1334009,377.7245941,311.4711415,345.1850124,329.3806396,384.8656664,364.5959842,313.7255311,365.7945968,399.1599092,405.1886174,341.6975435,352.8010125,458.8218741,-0.419925,-0.577966,-0.577966,-0.577966,-0.496539,-0.493119,-0.493119,-0.493119,-0.471772,-0.4975,-0.490392,-0.483188,-0.541303,-0.389883,-0.329962,-0.26677,-0.456098,-0.545411,-0.608084,-0.517705,-0.520681,-0.500583,-0.483402,-0.522077,0.493128
2022-05-08 14:56:56.033227-07:00,14:21:29.156808-07:00,398.6436287,301.6855801,326.553516,331.9108007,402.186476,349.3827902,324.1864181,391.5562484,360.6362679,372.1215178,379.4584743,367.4775305,365.2732561,342.0581466,370.1940098,417.0444347,378.1648801,311.1535777,344.9519621,330.4070408,384.8204049,363.3796087,311.935566,363.5272075,399.6585401,405.0796094,340.9671471,352.1354194,457.5900024,-0.420013,-0.578458,-0.578458,-0.578458,-0.496592,-0.493562,-0.493562,-0.493562,-0.471966,-0.498117,-0.491032,-0.483852,-0.541653,-0.390375,-0.330512,-0.267371,-0.456744,-0.545636,-0.60861,-0.517933,-0.520905,-0.50049,-0.483553,-0.522645,0.492472
2022-05-08 14:56:56.123167-07:00,14:21:29.158586-07:00,398.6394223,300.7061215,324.724924,329.6586584,400.7605928,349.1034968,324.1192744,389.5483503,359.9139106,372.4044344,379.7757287,367.7179356,364.290856,341.9390362,368.3988244,416.0605524,380.3263324,311.6053178,347.8788397,329.287535,383.3623251,364.0746029,313.116123,365.9830915,399.5476654,405.8119426,339.4983932,355.1810258,454.7956796,-0.419776,-0.578876,-0.578876,-0.578876,-0.496462,-0.494073,-0.494073,-0.494073,-0.471845,-0.498581,-0.491414,-0.484149,-0.541565,-0.390795,-0.330819,-0.267544,-0.457262,-0.5452,-0.609053,-0.51682,-0.519529,-0.500563,-0.483538,-0.523292,0.491725
2022-05-08 14:56:56.155088-07:00,14:21:29.246165-07:00,397.6602772,299.4347067,324.9563955,330.5420376,400.8122107,348.6063795,323.6224311,389.1673934,359.4463698,372.7374803,380.2390661,365.0312274,363.1475116,343.365066,368.0218345,415.4868444,381.3435303,312.7533178,345.8944173,332.9408265,382.6695638,364.5054795,313.4683422,366.7484148,398.7190988,405.5974857,339.8333357,352.9047905,454.8381747,-0.419549,-0.579056,-0.579056,-0.579056,-0.49627,-0.494347,-0.494347,-0.494347,-0.471588,-0.498801,-0.491582,-0.484263,-0.541321,-0.391097,-0.331087,-0.267773,-0.457165,-0.546316,-0.608895,-0.518615,-0.5216,-0.500622,-0.483352,-0.52356,0.491562
2022-05-08 14:56:56.182697-07:00,14:21:29.275835-07:00,398.6743523,299.0357341,326.6466814,331.9539844,399.5802382,348.3580144,324.4850031,390.5391503,357.9343563,372.7538556,380.8721944,367.6575463,364.579804,343.8635511,368.5663778,416.4317395,378.8296283,313.1074017,344.7829092,329.3310133,383.6553873,363.6071529,313.6496116,364.6752893,399.7741315,404.3007003,339.5350462,352.5571297,456.5167845,-0.419533,-0.578736,-0.578736,-0.578736,-0.496055,-0.493895,-0.493895,-0.493895,-0.471576,-0.49857,-0.491357,-0.484046,-0.541229,-0.390803,-0.330732,-0.267355,-0.45677,-0.545944,-0.608593,-0.518135,-0.521075,-0.500686,-0.48333,-0.523315,0.49178
2022-05-08 14:56:56.243199-07:00,14:21:29.306447-07:00,397.6878534,299.5033468,326.6474175,330.2823161,401.8762169,350.0184267,324.8657227,391.2810128,358.8793216,371.8401697,382.7882197,367.3604445,364.0291062,343.3056315,370.7734234,417.1512856,378.8340218,310.890539,345.1979008,328.2252614,385.3554181,364.9949309,315.6450277,364.7768301,397.8360893,403.3499656,338.9278093,353.3916201,456.6843384,-0.419513,-0.578583,-0.578583,-0.578583,-0.496089,-0.493695,-0.493695,-0.493695,-0.471512,-0.498363,-0.491144,-0.483827,-0.541111,-0.390697,-0.330634,-0.267271,-0.456845,-0.545472,-0.608678,-0.517183,-0.519933,-0.500819,-0.483192,-0.523034,0.492079
2022-05-08 14:56:56.332538-07:00,14:21:29.366044-07:00,398.0994285,299.5293041,326.1728546,332.0836722,399.9226755,348.9459552,325.8420162,390.1176624,359.6299936,372.5351989,380.1507385,367.1857964,363.8379848,341.9595897,369.2418367,415.0951373,381.2540529,313.0919944,345.5901399,329.6178993,383.024717,363.0367143,314.1565984,363.9945735,398.6019507,404.1832207,340.415585,355.5282278,453.9201783,-0.41936,-0.578883,-0.578883,-0.578883,-0.495947,-0.493969,-0.493969,-0.493969,-0.471417,-0.498718,-0.491486,-0.484154,-0.541063,-0.391004,-0.330914,-0.267515,-0.456826,-0.545953,-0.608608,-0.517687,-0.520437,-0.50094,-0.483042,-0.52337,0.491744
2022-05-08 14:56:56.333817-07:00,14:21:29.516294-07:00,398.010738,299.6187784,326.7600631,332.7849936,400.9362011,349.0924553,325.1298296,390.9596707,358.3231769,372.5066011,379.2881375,367.1152239,364.9572007,342.8739228,369.2533859,415.9589361,380.9777504,312.8650863,344.3213221,331.1318394,384.869784,364.9723919,316.3209913,363.6502834,398.8636348,402.7866476,341.0748648,353.0379544,456.507309,-0.419282,-0.579023,-0.579023,-0.579023,-0.495872,-0.494238,-0.494238,-0.494238,-0.471412,-0.498942,-0.491689,-0.484335,-0.541062,-0.391217,-0.331079,-0.267623,-0.456982,-0.546638,-0.6087,-0.518882,-0.521833,-0.500817,-0.483095,-0.523629,0.491544
2022-05-08 14:56:56.392888-07:00,14:21:29.517310-07:00,398.0919397,298.5355011,325.4618834,331.4049854,400.6911843,349.5413453,324.6961985,390.1477845,359.5004035,369.938786,379.624102,365.9560327,364.3934364,344.833415,368.8379247,417.6053261,378.2431591,314.0232106,345.670909,330.6287815,386.0993543,363.2835555,313.9173195,365.7415541,397.5989412,404.6734818,341.9012781,352.1058111,454.9646345,-0.419188,-0.579368,-0.579368,-0.579368,-0.495946,-0.494667,-0.494667,-0.494667,-0.47135,-0.499214,-0.492031,-0.48475,-0.541249,-0.391551,-0.331623,-0.26839,-0.457001,-0.546748,-0.608711,-0.51901,-0.522003,-0.501032,-0.48295,-0.523772,0.491313
2022-05-08 14:56:56.482088-07:00,14:21:29.546730-07:00,398.9836443,300.5827554,324.3059705,331.1232921,400.6812953,349.980734,325.3969147,392.7107739,359.797788,371.636525,379.6911513,368.1504549,363.010514,342.1463333,369.3939088,415.8202126,381.052589,313.2117369,344.5065797,329.9026138,384.8658972,364.2687124,314.7670635,365.428137,399.3469501,405.07901,340.977034,352.3598379,456.3993732,-0.419275,-0.579632,-0.579632,-0.579632,-0.496016,-0.494819,-0.494819,-0.494819,-0.471503,-0.499394,-0.49227,-0.48505,-0.541493,-0.391671,-0.331763,-0.26855,-0.457141,-0.546888,-0.60882,-0.519296,-0.522328,-0.500769,-0.483095,-0.523837,0.49137
