Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-23 15:00:43.945155-07:00,323.9312046,312.0678725,323.2927061,371.7977276,331.413787,353.5483093,355.3206902,327.4360242,314.7153109,327.5050349,305.6366697,312.1737164,368.9883315,324.7387296,370.4495603,361.456384,338.0618378,328.7951523,354.66834,333.9693715,331.2267133,322.4011274,318.6143856,354.932475,367.1141743,323.3685342,365.1826549,337.7032154,410.9108611,-0.420065,-0.577656,-0.577656,-0.577656,-0.496838,-0.49298,-0.49298,-0.49298,-0.472318,-0.497602,-0.490506,-0.483314,-0.542054,-0.38973,-0.329893,-0.266788,-0.456797,-0.545316,-0.608685,-0.517642,-0.520623,-0.500185,-0.484029,-0.522305,0.492674
2022-05-23 15:00:43.975716-07:00,322.6091734,311.4953924,322.0578279,372.4827626,331.9418243,354.8762638,354.6035649,326.5323832,315.5919725,326.6968149,305.435619,312.9420457,370.0126778,324.2090206,370.022288,359.2042098,340.2166131,328.2082265,354.6094172,334.9315728,333.9181713,319.619819,320.3664446,357.488734,367.1478596,323.0032617,366.8908461,336.4346397,411.689086,-0.419631,-0.577919,-0.577919,-0.577919,-0.496318,-0.493103,-0.493103,-0.493103,-0.471655,-0.497607,-0.49049,-0.483276,-0.541334,-0.389914,-0.330024,-0.266867,-0.456232,-0.545723,-0.608169,-0.518111,-0.521131,-0.500541,-0.483314,-0.522237,0.493087
2022-05-23 15:00:44.006350-07:00,323.9249151,313.0605377,322.0895752,373.5460951,332.273838,355.733497,356.2974823,328.7379456,315.5651788,327.4614192,303.5693819,314.5217141,367.2784234,323.9095942,370.1844727,360.9496001,341.1471555,328.3247413,355.2561889,335.3540931,332.2054032,320.4298048,318.78068,356.0001076,365.1533485,321.3854561,365.3993275,338.2940073,410.6808215,-0.419925,-0.577966,-0.577966,-0.577966,-0.496539,-0.493119,-0.493119,-0.493119,-0.471772,-0.4975,-0.490392,-0.483188,-0.541303,-0.389883,-0.329962,-0.26677,-0.456098,-0.545411,-0.608084,-0.517705,-0.520681,-0.500583,-0.483402,-0.522077,0.493128
2022-05-23 15:00:44.007038-07:00,323.673163,314.6270263,321.7484814,372.979097,331.8138507,355.6549801,354.0257272,327.7729865,316.64782,327.3310592,306.7364412,313.1249765,369.4592971,323.2711186,370.4985401,361.4761213,337.5270519,328.4274482,353.4072313,332.8286683,332.7087513,321.4486498,318.6895485,355.8261903,367.190878,322.4508496,365.6041739,336.511291,413.6073775,-0.420013,-0.578458,-0.578458,-0.578458,-0.496592,-0.493562,-0.493562,-0.493562,-0.471966,-0.498117,-0.491032,-0.483852,-0.541653,-0.390375,-0.330512,-0.267371,-0.456744,-0.545636,-0.60861,-0.517933,-0.520905,-0.50049,-0.483553,-0.522645,0.492472
2022-05-23 15:00:44.035938-07:00,322.2103476,311.7088423,320.9444641,371.5982463,333.8974839,354.6484889,354.4477808,328.091315,314.3506579,326.5463061,305.4672171,313.657471,368.5991549,324.2961654,370.6762882,360.0965057,340.9877795,327.3900727,353.598049,334.6889843,333.0929539,320.6695795,320.4358114,354.6391709,366.8022499,320.9433089,366.118185,338.9647217,412.2308588,-0.419776,-0.578876,-0.578876,-0.578876,-0.496462,-0.494073,-0.494073,-0.494073,-0.471845,-0.498581,-0.491414,-0.484149,-0.541565,-0.390795,-0.330819,-0.267544,-0.457262,-0.5452,-0.609053,-0.51682,-0.519529,-0.500563,-0.483538,-0.523292,0.491725
2022-05-23 15:00:44.125498-07:00,323.5219967,311.2881473,321.4821246,371.8273843,331.2274919,354.5785602,354.5800206,328.4371281,315.9469603,326.6027666,306.7791253,312.7368919,368.1484281,323.5743139,370.6986491,360.3789547,337.6697467,327.0442608,353.1268146,334.0770552,332.3889542,320.2940304,320.7344042,355.8906371,366.2255318,321.5559179,365.8145364,336.8724033,408.2487884,-0.419549,-0.579056,-0.579056,-0.579056,-0.49627,-0.494347,-0.494347,-0.494347,-0.471588,-0.498801,-0.491582,-0.484263,-0.541321,-0.391097,-0.331087,-0.267773,-0.457165,-0.546316,-0.608895,-0.518615,-0.5216,-0.500622,-0.483352,-0.52356,0.491562
2022-05-23 15:00:44.185425-07:00,324.5223677,312.3403883,322.736065,373.9845399,332.2001923,354.6560423,355.2593408,328.0347028,315.5004318,327.4665217,304.6915319,312.5747246,369.4636889,323.6434162,370.1394024,361.9028632,340.3109759,327.422874,354.3965002,332.5202331,332.7920237,321.5482241,318.8472253,357.5331574,366.6987064,323.1150601,365.8522464,337.9831474,410.2501745,-0.419533,-0.578736,-0.578736,-0.578736,-0.496055,-0.493895,-0.493895,-0.493895,-0.471576,-0.49857,-0.491357,-0.484046,-0.541229,-0.390803,-0.330732,-0.267355,-0.45677,-0.545944,-0.608593,-0.518135,-0.521075,-0.500686,-0.48333,-0.523315,0.49178
2022-05-23 15:00:44.186491-07:00,323.5445732,313.0560463,324.071798,371.7442995,332.6368941,355.7121809,355.3310768,327.030139,314.5980027,327.4330748,305.0516983,314.6486929,368.8472698,324.2740846,370.9306102,360.3422855,339.6887319,327.3703042,354.6123238,333.5543951,331.801435,319.4720398,319.0944905,357.7510304,366.0346949,323.3112478,366.573478,338.2396024,410.6336407,-0.419513,-0.578583,-0.578583,-0.578583,-0.496089,-0.493695,-0.493695,-0.493695,-0.471512,-0.498363,-0.491144,-0.483827,-0.541111,-0.390697,-0.330634,-0.267271,-0.456845,-0.545472,-0.608678,-0.517183,-0.519933,-0.500819,-0.483192,-0.523034,0.492079
2022-05-23 15:00:44.245640-07:00,323.0450197,311.3243865,323.125558,371.6637689,332.6057941,355.9970515,355.2450315,326.381951,315.097225,327.05133,305.0348081,313.4551923,368.5041704,323.8668067,370.0268277,360.1307509,339.1876614,326.3644089,352.8530018,335.0215923,333.4837805,320.473507,320.8221282,356.1346297,368.8427625,323.7922608,365.6719273,336.6896656,409.6694869,-0.41936,-0.578883,-0.578883,-0.578883,-0.495947,-0.493969,-0.493969,-0.493969,-0.471417,-0.498718,-0.491486,-0.484154,-0.541063,-0.391004,-0.330914,-0.267515,-0.456826,-0.545953,-0.608608,-0.517687,-0.520437,-0.50094,-0.483042,-0.52337,0.491744
2022-05-23 15:00:44.695616-07:00,323.0542649,311.8207398,322.7152159,372.584562,332.819299,354.7890891,356.4527196,329.343524,315.0523105,326.279114,306.3316249,311.789138,368.5095172,324.3671816,368.207906,359.5461582,339.7851186,326.6039452,354.4026716,334.047859,333.4449032,318.667667,319.9537328,358.0612116,366.1019581,323.0620846,366.9663697,336.4753955,411.498533,-0.419282,-0.579023,-0.579023,-0.579023,-0.495872,-0.494238,-0.494238,-0.494238,-0.471412,-0.498942,-0.491689,-0.484335,-0.541062,-0.391217,-0.331079,-0.267623,-0.456982,-0.546638,-0.6087,-0.518882,-0.521833,-0.500817,-0.483095,-0.523629,0.491544
