P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3216,1678,993,1432,804,1577,1595,883,949,2373,3568,1415,1309,2557,1401,1955,2698,1133,1129,944,909,1533,1678
3199,1740,966,1450,764,1599,1612,878,883,2425,3643,1463,1331,2557,1384,2012,2750,1133,1142,936,878,1546,1665
3269,1647,979,1432,795,1577,1546,914,936,2456,3528,1437,1313,2531,1401,1973,2742,1111,1160,927,949,1516,1687
3238,1661,979,1415,817,1595,1573,870,927,2500,3550,1410,1327,2504,1441,1964,2702,1146,1120,962,887,1542,1691
3203,1669,984,1441,812,1599,1617,870,905,2412,3607,1428,1331,2548,1419,1946,2720,1151,1155,953,896,1546,1678
3238,1665,993,1437,826,1617,1564,892,900,2416,3603,1415,1349,2509,1423,1977,2707,1138,1142,953,883,1476,1709
3260,1687,975,1401,764,1599,1489,856,918,2460,3607,1450,1305,2526,1437,1995,2693,1129,1120,940,883,1533,1687
3238,1705,979,1423,799,1630,1568,892,909,2460,3581,1397,1344,2509,1410,1964,2711,1142,1155,949,896,1533,1705
3216,1669,962,1450,786,1577,1555,905,931,2416,3599,1401,1327,2531,1401,1959,2693,1164,1125,940,918,1533,1687
3225,1669,988,1441,764,1546,1560,856,940,2434,3550,1463,1300,2540,1419,1986,2729,1138,1138,953,865,1542,1700
3199,1722,979,1450,839,1586,1586,878,953,2425,3581,1450,1305,2509,1388,1955,2707,1133,1146,936,918,1494,1683
3247,1683,993,1428,799,1551,1551,865,909,2425,3590,1441,1318,2531,1419,1959,2707,1142,1138,953,900,1520,1687
3199,1691,988,1423,826,1538,1595,865,940,2359,3585,1401,1309,2544,1432,1977,2685,1116,1111,949,909,1507,1691
3260,1669,1001,1445,795,1599,1577,843,918,2377,3581,1441,1327,2513,1397,1973,2698,1138,1164,979,909,1516,1687
3260,1678,975,1454,795,1555,1564,852,905,2452,3572,1437,1309,2535,1423,1937,2729,1125,1138,971,887,1507,1674
3243,1665,1019,1441,795,1608,1599,918,949,2425,3603,1445,1305,2535,1428,1977,2693,1168,1120,953,900,1524,1722
3225,1652,979,1415,812,1625,1608,856,914,2513,3590,1454,1309,2522,1410,1973,2715,1151,1138,962,900,1533,1705
3260,1683,975,1472,812,1538,1595,870,914,2500,3541,1450,1300,2504,1415,2025,2711,1177,1146,975,909,1520,1661
3282,1696,962,1454,826,1612,1586,887,918,2509,3572,1428,1313,2526,1423,2008,2733,1177,1133,878,896,1524,1713
3291,1691,975,1445,817,1608,1630,856,927,2403,3572,1428,1291,2557,1437,1973,2702,1125,1138,944,883,1529,1678
3282,1696,1001,1467,821,1577,1625,865,900,2535,3590,1458,1300,2522,1410,1946,2737,1125,1133,944,892,1529,1691
3273,1647,958,1467,817,1608,1564,856,909,2500,3621,1428,1309,2553,1384,2074,2676,1142,1160,914,914,1573,1709
3287,1691,958,1472,830,1590,1573,892,958,2570,3603,1441,1296,2531,1423,1942,2746,1164,1142,962,914,1542,1700
3287,1665,993,1467,791,1599,1599,865,918,2562,3669,1406,1331,2518,1410,1964,2724,1133,1133,922,922,1542,1678
3269,1696,966,1494,799,1590,1560,848,887,2544,3660,1441,1300,2513,1401,1999,2724,1133,1129,958,874,1538,1678
3225,1669,1028,1458,804,1590,1568,922,887,2570,3673,1437,1278,2553,1419,1968,2711,1160,1160,940,887,1551,1687
3295,1678,953,1480,821,1551,1568,861,887,2562,3660,1450,1313,2540,1410,1959,2702,1142,1168,940,874,1511,1683
3251,1669,971,1467,817,1604,1568,839,922,2566,3625,1423,1313,2562,1432,1968,2707,1195,1190,936,931,1551,1691
3287,1683,958,1458,834,1577,1568,839,949,2509,3656,1406,1309,2540,1401,1990,2698,1129,1155,905,905,1524,1700
3256,1652,979,1458,760,1564,1573,878,922,2518,3665,1410,1296,2518,1432,2012,2667,1164,1138,944,900,1538,1656
3251,1674,975,1463,821,1590,1608,883,883,2557,3621,1423,1335,2531,1419,2008,2654,1160,1133,931,927,1529,1683
3203,1656,988,1498,817,1573,1586,896,936,2575,3660,1410,1331,2531,1419,2003,2645,1160,1138,944,922,1564,1700
3243,1678,984,1450,804,1590,1564,883,936,2583,3656,1384,1318,2562,1406,2021,2676,1133,1138,966,927,1551,1674
3300,1687,962,1524,843,1573,1586,874,931,2562,3621,1441,1318,2583,1423,1986,2720,1129,1142,931,905,1511,1683
3229,1713,936,1546,808,1582,1590,852,909,2575,3665,1450,1340,2518,1406,2008,2750,1195,1129,971,905,1529,1678
3295,1669,984,1498,817,1546,1560,892,870,2575,3625,1454,1344,2570,1419,1977,2707,1146,1155,962,918,1529,1749
3265,1687,984,1520,812,1555,1542,883,927,2583,3656,1463,1331,2553,1384,2043,2707,1177,1133,940,936,1533,1691
3260,1683,931,1494,830,1590,1691,874,931,2570,3722,1423,1318,2522,1406,1986,2755,1182,1142,949,892,1507,1683
3287,1665,993,1498,826,1564,1696,861,944,2548,3713,1458,1270,2548,1454,2008,2689,1129,1107,958,918,1529,1718
3331,1727,949,1524,834,1573,1722,856,940,2535,3691,1450,1287,2588,1410,1968,2685,1164,1125,997,861,1524,1647
3344,1665,979,1507,821,1582,1538,887,944,2557,3722,1467,1309,2518,1410,2034,2702,1164,1164,944,922,1520,1656
3374,1700,958,1511,795,1560,1507,865,936,2566,3744,1428,1300,2592,1437,1990,2667,1168,1186,1006,918,1520,1691
3374,1661,1001,1494,843,1538,1520,856,918,2570,3770,1450,1318,2570,1415,2003,2685,1155,1107,979,918,1520,1652
3383,1705,979,1533,826,1538,1643,848,944,2544,3774,1423,1305,2540,1441,1986,2667,1168,1160,927,914,1542,1713
3418,1669,1001,1538,817,1524,1485,865,870,2588,3774,1463,1274,2570,1393,1986,2641,1182,1133,966,927,1533,1678
3392,1705,975,1542,782,1546,1647,870,936,2504,3744,1467,1309,2557,1397,2008,2680,1151,1103,936,914,1524,1709
3462,1705,979,1494,795,1502,1463,852,936,2575,3783,1463,1283,2570,1397,1999,2654,1177,1146,971,900,1546,1727
3458,1656,971,1551,769,1502,1463,861,922,2544,3788,1450,1331,2579,1419,2030,2658,1155,1177,940,905,1546,1731
3423,1678,1006,1524,791,1507,1507,878,909,2491,3801,1445,1331,2566,1410,1946,2645,1133,1125,936,918,1551,1709
3502,1678,997,1524,821,1507,1476,848,918,2509,3783,1445,1313,2566,1384,1955,2632,1142,1146,953,887,1533,1718
3511,1656,975,1546,843,1489,1480,848,931,2509,3788,1454,1353,2531,1437,1964,2627,1129,1138,953,896,1590,1705
3467,1700,966,1538,804,1498,1507,861,949,2548,3788,1445,1296,2566,1428,2003,2619,1146,1111,936,927,1568,1669
3515,1674,979,1551,830,1485,1472,878,940,2557,3796,1428,1349,2579,1406,1973,2614,1146,1151,953,874,1542,1665
3511,1665,993,1542,812,1498,1494,834,931,2522,3770,1437,1335,2540,1415,2034,2575,1133,1155,949,931,1568,1722
3550,1700,1019,1538,804,1472,1485,874,927,2522,3814,1437,1309,2500,1415,1981,2583,1120,1146,966,944,1546,1727
3581,1652,1010,1538,817,1502,1590,870,975,2509,3748,1432,1327,2526,1397,1964,2632,1199,1133,971,900,1529,1687
3511,1639,1001,1546,830,1494,1450,874,936,2504,3735,1458,1296,2535,1393,1973,2641,1125,1120,962,940,1533,1696
3550,1683,997,1533,782,1480,1463,852,966,2487,3770,1454,1300,2513,1423,1995,2627,1138,1142,953,870,1533,1709
3528,1652,958,1560,830,1476,1458,830,909,2500,3752,1467,1331,2513,1441,1977,2623,1155,1089,993,905,1524,1700
3520,1683,1006,1533,817,1463,1485,883,953,2487,3748,1463,1291,2500,1410,1951,2645,1151,1116,966,878,1516,1687
3528,1625,971,1533,786,1494,1529,843,927,2469,3761,1445,1318,2491,1428,1916,2583,1138,1146,940,940,1529,1687
3515,1674,984,1511,817,1485,1463,870,918,2469,3770,1454,1313,2509,1432,1920,2592,1142,1125,940,909,1560,1683
3498,1696,1001,1538,755,1454,1437,900,914,2469,3766,1458,1278,2491,1401,1946,2588,1133,1142,944,918,1542,1674
3515,1696,975,1538,821,1485,1445,865,940,2469,3735,1432,1318,2438,1393,1916,2588,1098,1142,975,922,1533,1669
3484,1683,958,1533,861,1489,1432,861,914,2482,3744,1454,1353,2504,1423,1889,2610,1081,1125,936,922,1524,1656
3462,1696,958,1542,817,1450,1450,852,914,2452,3730,1445,1344,2474,1397,1951,2623,1146,1103,953,922,1524,1705
3528,1696,979,1542,852,1511,1450,856,936,2460,3739,1458,1309,2513,1437,1942,2614,1146,1146,949,896,1520,1691
3511,1696,988,1542,812,1485,1437,883,936,2482,3739,1454,1322,2482,1415,1968,2579,1168,1133,962,914,1533,1683
3572,1722,1010,1520,830,1472,1437,865,883,2465,3792,1454,1313,2491,1450,1946,2605,1098,1151,962,940,1520,1700
3541,1683,984,1516,826,1485,1445,892,931,2456,3752,1419,1318,2478,1401,1955,2632,1164,1138,953,870,1546,1700
