,Pinky MCP:X,Pinky MCP:Y,Pinky MCP:Z,Pinky MCP:W,Pinky PIP:X,Pinky PIP:Y,Pinky PIP:Z,Pinky PIP:W,Pinky DIP:X,Pinky DIP:Y,Pinky DIP:Z,Pinky DIP:W,Ring MCP:X,Ring MCP:Y,Ring MCP:Z,Ring MCP:W,Ring PIP:X,Ring PIP:Y,Ring PIP:Z,Ring PIP:W,Ring DIP:X,Ring DIP:Y,Ring DIP:Z,Ring DIP:W,Middle MCP:X,Middle MCP:Y,Middle MCP:Z,Middle MCP:W,Middle PIP:X,Middle PIP:Y,Middle PIP:Z,Middle PIP:W,Middle DIP:X,Middle DIP:Y,Middle DIP:Z,Middle DIP:W,Index MCP:X,Index MCP:Y,Index MCP:Z,Index MCP:W,Index PIP:X,Index PIP:Y,Index PIP:Z,Index PIP:W,Index DIP:X,Index DIP:Y,Index DIP:Z,Index DIP:W,Thumbs CMC:X,Thumbs CMC:Y,Thumbs CMC:Z,Thumbs CMC:W,Thumbs MCP:X,Thumbs MCP:Y,Thumbs MCP:Z,Thumbs MCP:W,Thumbs IP:X,Thumbs IP:Y,Thumbs IP:Z,Thumbs IP:W,Hand:X,Hand:Y,Hand:Z,Hand:W
10,0.59443,0.359637,0.590388,-0.4108,0.59443,0.359637,0.590388,-0.4108,0.59443,0.359637,0.590388,-0.4108,0.520399,0.443545,0.528034,-0.503619,0.521614,0.442116,0.52665,-0.505066,0.522826,0.440683,0.525262,-0.50651,0.516569,0.438767,0.531584,-0.507994,0.519923,0.434787,0.527668,-0.512062,0.523246,0.430782,0.52372,-0.516098,0.444333,0.522729,0.441024,-0.578637,0.474208,0.495787,0.40635,-0.603492,0.502453,0.467139,0.370278,-0.626272,-0.027771,0.45223,0.593207,-0.665449,0.078542,0.59731,0.552211,-0.576294,0.051492,0.600247,0.577669,-0.550773,0.490675,0.426566,0.557557,-0.51615
11,0.59438,0.359571,0.590278,-0.411087,0.59438,0.359571,0.590278,-0.411087,0.59438,0.359571,0.590278,-0.411087,0.521257,0.442547,0.526666,-0.505041,0.521257,0.442547,0.526666,-0.505041,0.521257,0.442547,0.526666,-0.505041,0.517352,0.437258,0.53023,-0.50991,0.518976,0.43533,0.528328,-0.51188,0.520593,0.433395,0.526419,-0.513843,0.444328,0.522566,0.440763,-0.578987,0.474008,0.495801,0.406295,-0.603674,0.502079,0.467353,0.370447,-0.626312,-0.0278,0.451912,0.592793,-0.666033,0.077843,0.597174,0.552347,-0.5764,0.052086,0.599969,0.576628,-0.552109,0.490509,0.426515,0.557542,-0.516365
12,0.594459,0.359884,0.589964,-0.411149,0.594459,0.359884,0.589964,-0.411149,0.594459,0.359884,0.589964,-0.411149,0.521219,0.442891,0.526438,-0.505017,0.521219,0.442891,0.526438,-0.505017,0.521219,0.442891,0.526438,-0.505017,0.518203,0.436587,0.528805,-0.5111,0.518303,0.436467,0.528687,-0.511222,0.518404,0.436348,0.52857,-0.511343,0.444415,0.522835,0.440327,-0.579008,0.473969,0.4962,0.406031,-0.603554,0.50193,0.467898,0.37037,-0.626071,-0.027946,0.452374,0.592652,-0.665838,0.077376,0.597627,0.552531,-0.575817,0.052816,0.600296,0.575667,-0.552687,0.490312,0.426856,0.557486,-0.516331
13,0.594702,0.35935,0.590147,-0.411003,0.594702,0.35935,0.590147,-0.411003,0.594702,0.35935,0.590147,-0.411003,0.521532,0.442384,0.526655,-0.504912,0.521532,0.442384,0.526655,-0.504912,0.521532,0.442384,0.526655,-0.504912,0.518656,0.435944,0.528838,-0.511155,0.518656,0.435944,0.528838,-0.511155,0.518656,0.435944,0.528838,-0.511155,0.444845,0.522185,0.440476,-0.579152,0.474206,0.495674,0.406359,-0.60358,0.50199,0.467515,0.370891,-0.626,-0.0278,0.451827,0.593103,-0.665814,0.077279,0.59714,0.553268,-0.575627,0.053811,0.59971,0.575408,-0.553495,0.490742,0.426508,0.557608,-0.516078
14,0.594767,0.359529,0.589984,-0.410987,0.594767,0.359529,0.589984,-0.410987,0.594767,0.359529,0.589984,-0.410987,0.521518,0.442548,0.526561,-0.50488,0.521518,0.442548,0.526561,-0.50488,0.521518,0.442548,0.526561,-0.50488,0.518725,0.436222,0.52867,-0.511022,0.518725,0.436222,0.52867,-0.511022,0.518725,0.436222,0.52867,-0.511022,0.444975,0.522235,0.440171,-0.579238,0.474234,0.495817,0.406178,-0.603562,0.501927,0.467762,0.370843,-0.625894,-0.027771,0.451914,0.593006,-0.665842,0.076975,0.597268,0.553467,-0.575344,0.05415,0.599768,0.574998,-0.553826,0.490781,0.426645,0.557455,-0.516093
15,0.594849,0.359561,0.589714,-0.411228,0.594849,0.359561,0.589714,-0.411228,0.594849,0.359561,0.589714,-0.411228,0.521506,0.442474,0.526336,-0.505191,0.521506,0.442474,0.526336,-0.505191,0.521506,0.442474,0.526336,-0.505191,0.518595,0.436286,0.528607,-0.511164,0.518595,0.436286,0.528607,-0.511164,0.518595,0.436286,0.528607,-0.511164,0.445027,0.52216,0.439817,-0.579535,0.474109,0.495904,0.406017,-0.603697,0.501645,0.46803,0.370892,-0.625891,-0.027672,0.451876,0.593046,-0.665837,0.076672,0.597281,0.553881,-0.574973,0.054416,0.599718,0.574871,-0.553986,0.490805,0.426478,0.557199,-0.516484
16,0.594913,0.359641,0.589574,-0.411265,0.594913,0.359641,0.589574,-0.411265,0.594913,0.359641,0.589574,-0.411265,0.521571,0.442583,0.526186,-0.505185,0.521571,0.442583,0.526186,-0.505185,0.521571,0.442583,0.526186,-0.505185,0.518674,0.436344,0.528432,-0.511214,0.518674,0.436344,0.528432,-0.511214,0.518674,0.436344,0.528432,-0.511214,0.445168,0.522061,0.439523,-0.579739,0.474137,0.4959,0.405843,-0.603796,0.50157,0.468134,0.370849,-0.625898,-0.027455,0.452101,0.592828,-0.665888,0.076546,0.597536,0.553901,-0.574705,0.054944,0.599908,0.574269,-0.554353,0.49082,0.426549,0.557105,-0.516513
17,0.59486,0.359563,0.589593,-0.411382,0.59486,0.359563,0.589593,-0.411382,0.59486,0.359563,0.589593,-0.411382,0.521503,0.442455,0.526205,-0.505347,0.521503,0.442455,0.526205,-0.505347,0.521503,0.442455,0.526205,-0.505347,0.518577,0.436275,0.528495,-0.511307,0.518577,0.436275,0.528495,-0.511307,0.518577,0.436275,0.528495,-0.511307,0.445181,0.521973,0.439444,-0.579868,0.473988,0.495961,0.405947,-0.603792,0.501277,0.468362,0.371152,-0.625783,-0.027614,0.451856,0.592862,-0.666017,0.075986,0.597378,0.554358,-0.574503,0.054865,0.599687,0.574278,-0.55459,0.490773,0.426496,0.557114,-0.516593
18,0.594853,0.359764,0.589535,-0.411301,0.594853,0.359764,0.589535,-0.411301,0.594853,0.359764,0.589535,-0.411301,0.521504,0.44264,0.526116,-0.505278,0.521504,0.44264,0.526116,-0.505278,0.521504,0.44264,0.526116,-0.505278,0.518562,0.436427,0.528418,-0.511272,0.518562,0.436427,0.528418,-0.511272,0.518562,0.436427,0.528418,-0.511272,0.44523,0.522056,0.439257,-0.579897,0.473875,0.4962,0.405962,-0.603674,0.501021,0.468775,0.371383,-0.625542,-0.027555,0.451934,0.592726,-0.666087,0.07574,0.597497,0.554474,-0.574299,0.055118,0.599751,0.573923,-0.554863,0.490753,0.426551,0.55703,-0.516656
19,0.594658,0.359713,0.58959,-0.41155,0.594658,0.359713,0.58959,-0.41155,0.594658,0.359713,0.58959,-0.41155,0.521345,0.442569,0.526087,-0.505533,0.521345,0.442569,0.526087,-0.505533,0.521345,0.442569,0.526087,-0.505533,0.518352,0.436314,0.52844,-0.511559,0.518352,0.436314,0.52844,-0.511559,0.518352,0.436314,0.52844,-0.511559,0.44512,0.521918,0.439119,-0.580211,0.473607,0.496212,0.405989,-0.603857,0.500612,0.468954,0.371589,-0.625613,-0.027774,0.451517,0.592671,-0.66641,0.07519,0.597194,0.554763,-0.574407,0.05502,0.599389,0.573808,-0.555384,0.49062,0.426419,0.556966,-0.51696
20,0.594556,0.359894,0.589449,-0.411739,0.594556,0.359894,0.589449,-0.411739,0.594556,0.359894,0.589449,-0.411739,0.521211,0.442772,0.525934,-0.505652,0.521211,0.442772,0.525934,-0.505652,0.521211,0.442772,0.525934,-0.505652,0.518153,0.436439,0.528348,-0.511749,0.518153,0.436439,0.528348,-0.511749,0.518153,0.436439,0.528348,-0.511749,0.444975,0.522039,0.438926,-0.580359,0.47339,0.496417,0.405885,-0.603929,0.500332,0.46925,0.371581,-0.62562,-0.02807,0.451719,0.592521,-0.666394,0.074685,0.597413,0.554852,-0.57416,0.054931,0.599552,0.573496,-0.555538,0.490387,0.426735,0.556935,-0.516954
21,0.594595,0.359788,0.589292,-0.412,0.594595,0.359788,0.589292,-0.412,0.594595,0.359788,0.589292,-0.412,0.521204,0.44265,0.525798,-0.505909,0.521204,0.44265,0.525798,-0.505909,0.521204,0.44265,0.525798,-0.505909,0.518171,0.436391,0.528197,-0.511928,0.518171,0.436391,0.528197,-0.511928,0.518171,0.436391,0.528197,-0.511928,0.444905,0.521844,0.438829,-0.580661,0.473275,0.496259,0.405813,-0.604197,0.500176,0.469133,0.371537,-0.625858,-0.028184,0.45161,0.592566,-0.666423,0.074524,0.597322,0.554975,-0.574156,0.055021,0.599434,0.573389,-0.555767,0.490307,0.426663,0.556897,-0.51713
22,0.594558,0.35978,0.589363,-0.411959,0.594558,0.35978,0.589363,-0.411959,0.594558,0.35978,0.589363,-0.411959,0.52118,0.442665,0.525865,-0.50585,0.52118,0.442665,0.525865,-0.50585,0.52118,0.442665,0.525865,-0.50585,0.518095,0.436296,0.528303,-0.511976,0.518095,0.436296,0.528303,-0.511976,0.518095,0.436296,0.528303,-0.511976,0.444937,0.521857,0.438836,-0.58062,0.473211,0.496361,0.405938,-0.604078,0.500028,0.469335,0.371789,-0.625675,-0.02823,0.451701,0.592658,-0.666277,0.074461,0.597393,0.555116,-0.573955,0.055267,0.599473,0.573234,-0.555859,0.490282,0.426679,0.556958,-0.517074
23,0.594433,0.359994,0.589163,-0.412239,0.594433,0.359994,0.589163,-0.412239,0.594433,0.359994,0.589163,-0.412239,0.520997,0.442849,0.525653,-0.506099,0.520997,0.442849,0.525653,-0.506099,0.520997,0.442849,0.525653,-0.506099,0.51789,0.436482,0.528117,-0.512216,0.51789,0.436482,0.528117,-0.512216,0.51789,0.436482,0.528117,-0.512216,0.444645,0.521943,0.438681,-0.580884,0.47291,0.496476,0.405786,-0.604322,0.49972,0.469482,0.371643,-0.625899,-0.028464,0.451956,0.592505,-0.666231,0.074213,0.597632,0.554999,-0.573851,0.055162,0.59969,0.572975,-0.555904,0.490046,0.426946,0.556819,-0.517228
