Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,26:00.0,29395,29425,2746,5330,1977,3528,6380,1146,3014,2039,1393,2553,1019,29518,29504,29474,29487,5800,2118,1322,1278,2100,10063,1546,19946,16026,3159,1309,1393,3014,17745,29390,1392468992,24,65,972,13692,397,64995,56563,0,1,3,0
Wait,26:00.1,29324,29315,2742,5365,1964,3537,6389,1186,3036,2043,1406,2610,1059,29487,29460,29496,29456,5857,2122,1322,1270,2109,10032,1599,19872,16092,3150,1313,1384,3023,17758,29351,1392535808,23,68,975,13692,397,64995,56563,0,1,3,0
Wait,26:00.2,29359,29434,2768,5339,1964,3546,6345,1177,3014,2012,1344,2601,1001,29504,29482,29526,29478,5835,2148,1327,1291,2078,10019,1555,19450,15473,3102,1318,1371,3027,17771,29390,1392603648,23,69,974,13692,397,64995,56563,0,1,3,0
Wait,26:00.3,29355,29386,2742,5317,1981,3563,6376,1186,3045,2069,1349,2566,1010,29522,29474,29478,29430,5835,2126,1291,1287,2087,10032,1560,20491,16835,3177,1274,1371,3005,17727,29386,1392671488,24,66,972,13692,397,64995,56563,0,1,3,0
Wait,26:00.4,29377,29421,2777,5291,1942,3528,6345,1168,3067,2061,1384,2570,975,29570,29452,29509,29509,5849,2122,1291,1256,2109,10010,1564,20280,16308,3150,1318,1393,2997,17789,29386,1392737664,25,68,975,13692,397,64995,56563,0,1,3,0
Wait,26:00.5,29438,29421,2750,5312,1951,3559,6350,1160,2988,2025,1401,2579,1019,29425,29337,29250,29289,5893,2140,1313,1270,2126,10037,1577,20750,16765,3098,1274,1362,3054,17793,29390,1392806400,23,70,975,13692,397,64995,56563,0,1,3,0
Wait,26:00.6,29342,29416,2750,5330,1946,3555,6341,1155,3041,2091,1384,2597,1006,29491,29482,29469,29504,5822,2109,1296,1291,2074,10076,1542,20733,16536,3177,1322,1357,3019,17753,29333,1392874624,24,66,972,13692,397,64995,56563,0,1,3,0
Wait,26:00.7,29346,29438,2742,5330,1942,3559,6341,1204,3036,2069,1410,2623,997,29456,29469,29460,29509,5827,2100,1309,1278,2109,10059,1573,20663,16918,3137,1256,1384,2988,17819,29364,1392944000,25,67,975,13692,397,64995,56563,0,1,3,0
Wait,26:00.8,29329,29342,2772,5317,1968,3559,6380,1173,3071,2030,1401,2575,1023,29482,29478,29456,29447,5857,2104,1349,1270,2109,10041,1586,20860,16998,3181,1291,1357,3049,17775,29333,1393010688,25,69,972,13692,397,64995,56563,0,1,3,0
Wait,26:00.9,29403,29333,2742,5321,1986,3511,6358,1151,3010,2047,1393,2610,1019,29513,29346,29412,29452,5831,2113,1291,1274,2091,10067,1551,21159,17024,3155,1327,1410,3045,17771,29526,1393080960,23,68,973,13692,397,64995,56563,0,1,3,0
Wait,26:01.0,29342,29381,2733,5295,1946,3555,6354,1199,3041,2065,1362,2562,1015,29438,29465,29452,29416,5831,2118,1274,1283,2091,10050,1595,20882,17336,3186,1287,1371,3027,17758,29333,1393147136,24,65,973,13692,397,64995,56563,0,1,3,0
Wait,26:01.1,29443,29342,2764,5321,1973,3559,6367,1173,3049,2017,1375,2614,1023,29522,29504,29504,29518,5822,2100,1305,1274,2104,10015,1555,20808,16940,3190,1265,1397,2992,17753,29381,1393214080,25,69,972,13692,397,64995,56563,0,1,3,0
