p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23
0.56295,0.99143,0.04447,0,0.85334,0.20933,0.97594,0.85544,0.37919,0.074286,0,0.041646,0.023975,0.16443,0.82843,0.01265,0.20738,0.47366,0.078902,0.82137,0.22229,0.47847,0.1764
0.56751,0.99194,0.04007,0.018109,0.83651,0.21159,0.97756,0.84697,0.3767,0.060657,0.0020002,0.046571,0.051067,0.15884,0.84774,0.011872,0.21319,0.46393,0.058025,0.83832,0.25637,0.50723,0.19647
0.56988,0.98237,0.037129,0.019556,0.84658,0.21377,0.98111,0.80321,0.39715,0.058927,0.0033592,0.056277,0.051842,0.15828,0.84104,0.011291,0.21115,0.46882,0.060417,0.81653,0.23289,0.54307,0.20948
0.57097,1,0.030869,0.025528,0.86378,0.20993,0.97945,0.79607,0.42343,0.063892,0.0032877,0.060769,0.084739,0.1577,0.82983,0.010431,0.20682,0.45111,0.048704,0.70551,0.22787,0.58402,0.20401
0.57187,0.99064,0.023523,0.026831,0.86244,0.20832,0.96597,0.78921,0.41386,0.06233,0.0049196,0.06511,0.077746,0.15319,0.84434,0.0095024,0.20267,0.434,0.046279,0.69373,0.27106,0.54809,0.20496
0.57104,0.9795,0.020932,0.03055,0.87478,0.21048,0.96617,0.78261,0.41608,0.056538,0.0057138,0.048484,0.083697,0.14969,0.81788,0.0084884,0.20459,0.4525,0.022715,0.6611,0.24863,0.53356,0.20596
0.57167,0.9755,0.024814,0.023621,0.87964,0.20588,0.95824,0.78586,0.40702,0.059132,0.0064967,0.052917,0.059055,0.15146,0.80774,0.0077894,0.20646,0.46,0,0.67955,0.23769,0.52565,0.24125
0.57422,0.96705,0.024401,0.021193,0.86428,0.20654,0.96004,0.74707,0.3983,0.059841,0.0088042,0.044148,0,0.14281,0.80239,0.0062006,0.19846,0.44581,0.010685,0.64838,0.20148,0.51806,0.23592
0.57507,0.97441,0.025874,0.014709,0.8897,0.20072,0.95894,0.74157,0.35862,0.052319,0.0090174,0.03767,0.024402,0.14543,0.81643,0.0049963,0.19355,0.44022,0.0054477,0.60433,0.20207,0.56927,0.25311
0.57561,0.97709,0.028434,0.030289,0.85535,0.198,0.97298,0.72311,0.35105,0.049197,0.0079843,0.029484,0.047999,0.14138,0.8223,0.0039192,0.19341,0.4445,0.012092,0.60303,0.18237,0.5239,0.24541
0.57523,0.96516,0.018662,0.025701,0.87058,0.19879,0.96998,0.74411,0.34956,0.046253,0.0089652,0.019197,0.065674,0.13825,0.80606,0.003547,0.18877,0.4559,0.049487,0.57477,0.1733,0.50553,0.24604
0.57696,0.94316,0.012123,0.019525,0.85648,0.19902,0.96403,0.74778,0.32755,0.053102,0.011144,0.025688,0.059954,0.13583,0.80447,0.0032515,0.18623,0.45967,0.063036,0.54747,0.15473,0.54202,0.257
0.57635,0.94621,0.0077693,0.020925,0.86132,0.20255,0.97299,0.74652,0.33666,0.065398,0.01305,0.018128,0.11561,0.1397,0.8062,0.0037824,0.19077,0.44907,0.11383,0.55304,0.20326,0.53497,0.24449
0.57826,0.94501,0.0083484,0.020597,0.84787,0.20326,0.98167,0.74152,0.37873,0.062547,0.012987,0.018546,0.12529,0.13867,0.80468,0.0034692,0.19332,0.45754,0.11077,0.53414,0.19432,0.54703,0.22953
0.57894,0.94023,0.0060691,0.025749,0.8438,0.20303,0.97584,0.7451,0.39551,0.069027,0.015045,0.0091222,0.15162,0.13629,0.78979,0.0025887,0.19086,0.47044,0.12274,0.5032,0.15866,0.50043,0.21049
0.57935,0.92174,0,0.03819,0.82499,0.20414,0.97594,0.71179,0.38817,0.084408,0.018194,0,0.15573,0.13589,0.78548,0.0018139,0.18974,0.46468,0.10577,0.50372,0.14149,0.47749,0.23692
0.5801,0.92492,0.0051852,0.042958,0.83611,0.20004,0.9842,0.69581,0.4001,0.094134,0.016774,0.0046136,0.16443,0.1368,0.77749,0.0018298,0.19346,0.44981,0.092536,0.47969,0.15205,0.48355,0.23525
0.58347,0.93581,0.0048201,0.040797,0.83575,0.19991,0.9746,0.7035,0.39815,0.1124,0.018927,0.0014093,0.13246,0.13767,0.77352,0.0011372,0.19533,0.43988,0.12486,0.47387,0.12262,0.46795,0.22929
0.58535,0.92759,0.014194,0.045425,0.84061,0.19978,0.97595,0.68813,0.43219,0.13176,0.020634,0.015152,0.16177,0.13848,0.81504,0.001433,0.19888,0.44113,0.14297,0.45765,0.12045,0.46282,0.2328
0.58739,0.92508,0.0056353,0.053436,0.83706,0.20053,0.96946,0.68447,0.44301,0.15256,0.021867,0.019379,0.15099,0.14177,0.80407,0.0012018,0.20404,0.45308,0.16672,0.45237,0.11354,0.51195,0.23413
0.58983,0.9243,0.0042039,0.052806,0.87261,0.20165,0.96317,0.66214,0.44954,0.16939,0.021396,0.021861,0.16929,0.14495,0.79053,0.0014005,0.20623,0.44772,0.18676,0.40222,0.12773,0.57063,0.23286
0.59385,0.92558,0.0070676,0.065436,0.89354,0.20237,0.96231,0.63709,0.3989,0.18394,0.023037,0.017025,0.19254,0.14312,0.80232,0.0008596,0.20442,0.45056,0.21596,0.40933,0.13778,0.59662,0.24103
0.59808,0.9232,0.0023349,0.068046,0.89497,0.20143,0.95745,0.631,0.43983,0.19814,0.02689,0.022673,0.22914,0.14427,0.83205,0.00068031,0.20606,0.44293,0.21191,0.46632,0.13925,0.59601,0.23983
0.59985,0.92605,0.0050893,0.070602,0.92049,0.20369,0.94535,0.64637,0.44618,0.21055,0.029451,0.036805,0.23189,0.14312,0.82149,0,0.21138,0.45168,0.20144,0.44032,0.12885,0.56523,0.23468
0.60123,0.92019,0.0036316,0.079269,0.94,0.20554,0.94955,0.6686,0.45615,0.21475,0.032957,0.035477,0.24818,0.13794,0.81396,2.25E-05,0.21498,0.45421,0.20417,0.45765,0.13042,0.58003,0.24916
0.60467,0.91797,0.0062405,0.076993,0.93847,0.20392,0.95116,0.66874,0.49472,0.23455,0.034587,0.039158,0.22793,0.1397,0.78642,0.00031475,0.22223,0.44489,0.20682,0.47454,0.14791,0.5594,0.2589
0.60869,0.91734,0.0087537,0.079382,0.96247,0.20574,0.95872,0.68303,0.50014,0.25705,0.037338,0.046142,0.24388,0.13466,0.76826,0.00031314,0.22301,0.43755,0.2185,0.50168,0.15707,0.54492,0.28153
0.61117,0.9088,0.014407,0.092524,0.96816,0.20487,0.9591,0.6698,0.47281,0.27591,0.03968,0.051095,0.20214,0.13475,0.75649,0.00069632,0.23045,0.44002,0.21195,0.50239,0.16169,0.52534,0.29311
0.61436,0.92803,0.015103,0.094686,0.96864,0.20774,0.95258,0.64313,0.50525,0.27928,0.04232,0.062539,0.21408,0.13419,0.75023,0.0010004,0.23263,0.45018,0.2117,0.51812,0.14062,0.52043,0.32524
0.6192,0.93059,0.0089307,0.11005,0.9619,0.20946,0.95304,0.63378,0.51037,0.30627,0.048101,0.073703,0.22965,0.13853,0.76141,0.00057794,0.24082,0.43349,0.19667,0.56313,0.1201,0.52105,0.32582
0.62603,0.92511,0.016539,0.12069,0.97239,0.21115,0.94779,0.62467,0.52236,0.30495,0.052444,0.081376,0.24098,0.14274,0.7502,0.00040503,0.24982,0.43198,0.21985,0.56761,0.10674,0.53122,0.33842
0.63286,0.91045,0.013352,0.12247,0.9897,0.21491,0.94601,0.62908,0.53062,0.32118,0.056693,0.099827,0.23962,0.14421,0.74178,0.00061654,0.26297,0.41417,0.21953,0.57756,0.11178,0.52232,0.35487
0.6372,0.90392,0.016962,0.11997,0.98998,0.21403,0.94656,0.63339,0.54209,0.34846,0.060315,0.1147,0.26286,0.1435,0.7089,0.0008709,0.27052,0.40376,0.2218,0.54774,0.092373,0.53228,0.36288
0.64323,0.9098,0.017461,0.11594,0.98338,0.21531,0.95258,0.63112,0.53481,0.3581,0.064227,0.11576,0.25664,0.14838,0.68231,0.0012369,0.27985,0.3903,0.24386,0.5382,0.06944,0.53693,0.38274
0.64718,0.91105,0.019406,0.11903,1,0.2186,0.94861,0.64741,0.53518,0.37455,0.067175,0.10761,0.2552,0.14863,0.69068,0.0015159,0.28565,0.38235,0.27361,0.51924,0.07872,0.53745,0.40219
0.65017,0.91055,0.022094,0.11513,0.98415,0.22113,0.94473,0.6577,0.51011,0.38093,0.070065,0.10572,0.24561,0.15285,0.69648,0.0027551,0.29503,0.3849,0.25894,0.53361,0.11204,0.533,0.3926
0.65167,0.91918,0.023248,0.11976,0.97995,0.22399,0.94432,0.62468,0.50024,0.38876,0.075131,0.10222,0.25606,0.15594,0.70215,0.0038347,0.30095,0.38931,0.2687,0.53405,0.12062,0.53361,0.39658
0.65238,0.91426,0.025783,0.12552,0.97586,0.22543,0.94059,0.64051,0.49382,0.39248,0.078388,0.094532,0.25472,0.15605,0.69259,0.0051227,0.30362,0.40019,0.28128,0.52103,0.11908,0.56835,0.39459
0.65322,0.90946,0.030907,0.13118,0.98289,0.22588,0.94119,0.64104,0.51928,0.40404,0.08227,0.10427,0.23407,0.15658,0.71314,0.006718,0.31077,0.39886,0.31711,0.48581,0.1138,0.59848,0.40736
0.65352,0.91911,0.031078,0.12617,0.98334,0.22861,0.94179,0.65366,0.51281,0.40761,0.086228,0.11669,0.22522,0.15763,0.69857,0.0084398,0.31553,0.39258,0.3259,0.45544,0.11238,0.56887,0.42197
0.65386,0.91597,0.027842,0.12903,0.98381,0.23253,0.93731,0.65737,0.5003,0.42151,0.089622,0.12185,0.22431,0.16519,0.68659,0.010634,0.31969,0.39467,0.33449,0.4568,0.091049,0.55691,0.43795
0.6539,0.91832,0.032707,0.12418,0.97799,0.23479,0.93498,0.66101,0.51107,0.42344,0.092803,0.12407,0.22684,0.17161,0.66766,0.012605,0.32992,0.39184,0.33532,0.45814,0.067274,0.55269,0.45726
0.65367,0.9263,0.035491,0.11421,0.96993,0.23357,0.94059,0.64704,0.51177,0.43813,0.096219,0.1275,0.21839,0.17283,0.64914,0.015135,0.33994,0.39565,0.33613,0.43793,0.094611,0.55689,0.48142
0.65348,0.93129,0.034922,0.1209,0.97483,0.23578,0.94029,0.64237,0.53872,0.4537,0.10004,0.13917,0.21763,0.17588,0.6381,0.016937,0.348,0.38624,0.33179,0.40945,0.1278,0.54552,0.50154
0.6528,0.9334,0.036255,0.12261,0.98152,0.23767,0.94662,0.64035,0.54284,0.4704,0.10318,0.1439,0.23502,0.17608,0.64399,0.019239,0.35629,0.38204,0.32021,0.40652,0.13553,0.5696,0.51619
0.65278,0.92874,0.037539,0.12543,0.98021,0.23766,0.94715,0.63838,0.56305,0.47556,0.10687,0.1404,0.24798,0.17768,0.63112,0.021436,0.36526,0.37789,0.34072,0.4122,0.13961,0.57803,0.53251
0.653,0.92569,0.043814,0.13072,0.96474,0.24368,0.94962,0.62526,0.56685,0.48428,0.11036,0.14623,0.22198,0.18185,0.63908,0.023409,0.37283,0.38752,0.3586,0.41777,0.13807,0.56245,0.54317
0.65315,0.92928,0.050652,0.12734,0.95731,0.25081,0.94349,0.62904,0.57346,0.49671,0.11319,0.14546,0.21728,0.18114,0.63332,0.025443,0.38352,0.38472,0.37338,0.41118,0.15164,0.54721,0.55213
0.65383,0.93014,0.05479,0.14101,0.9523,0.2525,0.9394,0.63276,0.5771,0.50512,0.11521,0.14996,0.26482,0.18042,0.61841,0.027272,0.39077,0.37572,0.37161,0.38819,0.15884,0.54789,0.56246
0.65372,0.92951,0.058264,0.1341,0.94518,0.25356,0.93456,0.64969,0.58068,0.51341,0.11809,0.15699,0.25981,0.17795,0.62628,0.029788,0.39752,0.38498,0.38865,0.43029,0.17194,0.5263,0.56295
0.6492,0.92657,0.062894,0.13673,0.94614,0.25665,0.93707,0.66628,0.5807,0.53118,0.12136,0.15615,0.28587,0.17938,0.60517,0.03178,0.40414,0.38217,0.39102,0.45534,0.18479,0.52723,0.56347
0.6497,0.9213,0.072096,0.14086,0.94297,0.25877,0.92717,0.69052,0.55052,0.54513,0.12524,0.15397,0.28656,0.17779,0.61013,0.035056,0.4125,0.38172,0.41669,0.45975,0.20236,0.53604,0.56062
0.65078,0.92764,0.074662,0.1509,0.93233,0.26175,0.92658,0.69565,0.56012,0.5484,0.12898,0.15435,0.3004,0.18171,0.60852,0.037363,0.41644,0.38464,0.42378,0.52002,0.20597,0.54061,0.58062
0.65302,0.92499,0.080823,0.15262,0.92917,0.2667,0.91875,0.68045,0.55437,0.54474,0.13067,0.16591,0.30109,0.19075,0.6246,0.040638,0.42282,0.38419,0.43353,0.54875,0.20892,0.49683,0.62643
0.65304,0.91478,0.084081,0.15219,0.93173,0.27053,0.91092,0.66525,0.52698,0.54347,0.13438,0.17145,0.29868,0.19631,0.64271,0.044066,0.42794,0.39591,0.45707,0.55766,0.19192,0.4573,0.64644
0.65186,0.91242,0.087339,0.15284,0.93825,0.27232,0.91199,0.65484,0.55822,0.55261,0.13842,0.16554,0.27228,0.19984,0.63402,0.047599,0.43784,0.38666,0.4716,0.57018,0.18356,0.4958,0.65833
0.65131,0.89322,0.09115,0.16181,0.94125,0.27727,0.9168,0.67071,0.55595,0.56896,0.14142,0.16078,0.28613,0.20887,0.63898,0.051132,0.44458,0.39669,0.46754,0.55927,0.19848,0.51903,0.67538
0.6489,0.88708,0.090122,0.16138,0.92841,0.28367,0.91704,0.65253,0.53763,0.58158,0.14574,0.15888,0.317,0.21066,0.61057,0.054758,0.45412,0.39657,0.49321,0.52404,0.21605,0.53548,0.68728
0.64932,0.87803,0.087297,0.17383,0.92745,0.28691,0.90817,0.62359,0.53816,0.59312,0.1487,0.17959,0.31072,0.2141,0.5599,0.058594,0.4652,0.40525,0.52366,0.5762,0.21368,0.54344,0.69106
0.64788,0.87422,0.095393,0.17797,0.91637,0.28726,0.90842,0.606,0.58196,0.60226,0.15612,0.17626,0.33462,0.22053,0.57144,0.062489,0.4732,0.39904,0.53075,0.57701,0.18471,0.57431,0.67714
0.6477,0.86924,0.094366,0.18907,0.8978,0.29398,0.90493,0.60873,0.58248,0.60687,0.15925,0.1881,0.34847,0.22657,0.54555,0.066582,0.47994,0.38844,0.53784,0.54988,0.19098,0.55682,0.66839
0.64781,0.87297,0.10495,0.18972,0.88892,0.29814,0.89337,0.5774,0.59208,0.63229,0.16343,0.18334,0.41107,0.2301,0.54596,0.070676,0.48632,0.36701,0.54016,0.53537,0.12412,0.558,0.66295
0.6482,0.86538,0.10931,0.19278,0.90512,0.29908,0.88802,0.56459,0.56749,0.64731,0.16896,0.1863,0.39783,0.23363,0.52412,0.07457,0.4955,0.36351,0.53345,0.48843,0.097811,0.49217,0.67853
0.64742,0.84618,0.11727,0.18887,0.9134,0.3037,0.88371,0.56493,0.58895,0.65992,0.17166,0.18039,0.41554,0.23416,0.51138,0.078313,0.49556,0.34546,0.55434,0.49645,0.089455,0.48572,0.68563
0.64713,0.84613,0.12288,0.17664,0.90804,0.30668,0.88665,0.55989,0.56784,0.68321,0.17658,0.17935,0.40617,0.23644,0.50977,0.082103,0.50193,0.33891,0.56833,0.52518,0.10171,0.45297,0.69089
