Wait,16:50:00,0:00:10
paper,16:50:10,0:00:05
go to fist,16:50:15,0:00:05
1-Gesture 1,16:50:20,0:00:05
1-Rest,16:50:25,0:00:05
1-Gesture 2,16:50:30,0:00:05
1-Rest,16:50:35,0:00:05
2-Gesture 1,16:50:40,0:00:05
2-Rest,16:50:45,0:00:05
2-Gesture 2,16:50:50,0:00:05
2-Rest,16:50:55,0:00:05
3-Gesture 1,16:51:00,0:00:05
3-Rest,16:51:05,0:00:05
3-Gesture 2,16:51:10,0:00:05
3-Rest,16:51:15,0:00:05
4-Gesture 1,16:51:20,0:00:05
4-Rest,16:51:25,0:00:05
4-Gesture 2,16:51:30,0:00:05
4-Rest,16:51:35,0:00:05
5-Gesture 1,16:51:40,0:00:05
5-Rest,16:51:45,0:00:05
5-Gesture 2,16:51:50,0:00:05
5-Rest,16:51:55,0:00:05
6-Gesture 1,16:52:00,0:00:05
6-Rest,16:52:05,0:00:05
6-Gesture 2,16:52:10,0:00:05
6-Rest,16:52:15,0:00:05
7-Gesture 1,16:52:20,0:00:05
7-Rest,16:52:25,0:00:05
7-Gesture 2,16:52:30,0:00:05
7-Rest,16:52:35,0:00:05
Stop,16:52:40,
Wait,16:50:00.006,29140,7097,2922,1683,993,1248,729,1538,1568,940,931,2487,3405,29184,29245,29250,29214,29280,1463,1300,2052,1467,1727,2623,1190,1186,988,984,1639,1709,29118,29113,2147483647,64707,48,535,5228,7341,2476,52079,0,3,3,2
Wait,16:50:00.104,29083,7048,2939,1735,988,1265,808,1511,1560,918,962,2518,3392,29197,29298,29258,29236,29250,1454,1327,2078,1467,1749,2641,1199,1177,1028,988,1604,1735,29118,29122,2147483647,64707,44,536,5228,7341,2476,52079,0,3,3,2
Wait,16:50:00.214,29228,7070,2895,1757,993,1331,826,1538,1582,936,944,2496,3383,29157,29162,29069,29069,29210,1494,1362,2083,1476,1740,2649,1177,1182,1001,966,1608,1669,29214,29206,2147483647,64716,43,534,5230,7340,2479,52080,0,3,3,2
Wait,16:50:00.304,29074,7101,2909,1735,984,1270,769,1507,1577,896,940,2474,3423,29201,29293,29228,29192,29258,1476,1322,2034,1480,1691,2645,1190,1199,1032,944,1621,1705,29074,29109,2147483647,64712,49,540,5233,7338,2479,52080,0,3,3,2
Wait,16:50:00.407,29122,7075,2922,1753,940,1283,764,1524,1538,905,949,2487,3366,29263,29276,29210,29285,29267,1476,1318,2069,1472,1722,2636,1151,1190,1015,949,1621,1696,29061,29078,2147483647,64714,51,535,5239,7342,2474,52084,0,3,3,2
Wait,16:50:00.505,29100,7110,2935,1766,993,1270,791,1507,1564,883,940,2474,3379,29250,29263,29214,29276,29192,1463,1256,2056,1489,1731,2685,1173,1186,975,993,1634,1705,29100,29069,2147483647,64708,50,537,5240,7350,2472,52088,0,3,3,2
Wait,16:50:00.680,29148,7070,2878,1740,962,1283,791,1507,1595,896,918,2500,3335,29214,29175,29188,29232,29197,1480,1305,2069,1494,1731,2597,1212,1195,1006,966,1656,1722,29184,29144,2147483647,64710,48,538,5241,7354,2470,52090,0,3,3,2
Wait,16:50:00.708,29109,7119,2887,1784,984,1309,795,1502,1568,900,953,2430,3344,29219,29241,29258,29263,29258,1441,1313,2034,1489,1691,2667,1173,1195,988,962,1634,1691,29096,29135,2147483647,64710,48,532,5237,7353,2471,52089,0,3,3,2
Wait,16:50:00.880,29206,7066,2913,1749,1010,1287,760,1524,1546,905,949,2430,3401,29254,29254,29267,29214,29250,1480,1256,2078,1494,1718,2649,1177,1248,997,958,1604,1709,29100,29065,2147483647,64715,50,531,5233,7353,2470,52087,0,3,3,2
Wait,16:50:00.980,29175,7066,2935,1749,1019,1278,826,1533,1568,874,931,2438,3348,29245,29276,29175,29170,29263,1472,1322,2034,1445,1691,2658,1217,1212,979,949,1599,1718,29104,29162,2147483647,64711,49,536,5235,7354,2465,52087,0,3,3,2
Wait,16:50:01.091,29131,7088,2931,1784,966,1305,821,1533,1604,922,936,2443,3339,29232,29210,29206,29197,29236,1472,1283,2034,1476,1674,2654,1195,1190,1028,958,1617,1696,29087,29074,2147483647,64711,49,525,5233,7352,2454,52083,0,3,3,2
Wait,16:50:01.114,29228,7083,2904,1792,966,1296,782,1564,1551,870,940,2500,3375,29157,29135,29245,29188,29157,1454,1283,2083,1441,1784,2641,1204,1195,1010,984,1612,1727,29192,29184,2147483647,64703,53,543,5235,7352,2450,52083,0,3,3,2
Wait,16:50:01.280,29096,7092,2926,1722,971,1287,795,1511,1586,900,909,2478,3396,29219,29254,29214,29206,29228,1450,1291,2096,1494,1727,2623,1204,1234,1041,979,1582,1700,29039,29157,2147483647,64709,50,537,5237,7351,2449,52084,0,3,3,2
Wait,16:50:01.380,29188,7066,2939,1762,984,1283,795,1524,1577,896,953,2465,3366,29219,29223,29201,29188,29210,1432,1287,2065,1463,1740,2610,1164,1208,1010,966,1634,1687,29126,29179,2147483647,64715,44,534,5234,7349,2454,52082,0,3,3,2
Wait,16:50:01.404,29056,7048,2878,1735,988,1300,782,1520,1586,909,958,2443,3322,29223,29228,29210,29250,29197,1445,1274,2030,1485,1709,2627,1177,1204,971,988,1612,1687,29131,29096,2147483647,64709,49,535,5233,7344,2452,52079,0,3,3,2
Wait,16:50:01.508,29100,7092,2860,1762,979,1283,799,1533,1568,922,962,2469,3344,29250,29271,29206,29258,29170,1445,1309,2052,1480,1709,2605,1221,1217,1001,962,1621,1687,29170,29144,2147483647,64706,45,534,5236,7340,2450,52077,0,3,3,2
Wait,16:50:01.680,29126,7053,2904,1713,993,1287,799,1573,1560,936,949,2452,3353,29179,29228,29184,29157,29197,1445,1296,2061,1485,1722,2667,1186,1221,984,962,1639,1691,29096,29100,2147483647,64709,47,539,5230,7338,2453,52074,0,3,3,2
Wait,16:50:01.780,29122,7075,2891,1744,966,1283,782,1546,1564,931,931,2482,3379,29236,29206,29236,29254,29223,1445,1327,2034,1476,1718,2654,1190,1208,1054,993,1590,1775,29192,29118,2147483647,64709,48,537,5220,7335,2458,52070,0,3,3,2
Wait,16:50:01.881,29122,7057,2904,1788,1010,1283,821,1551,1546,900,940,2491,3348,29241,29219,29219,29258,29162,1441,1309,2061,1489,1762,2605,1173,1208,975,953,1604,1661,29144,29104,2147483647,64710,46,532,5213,7330,2461,52064,0,3,3,2
Wait,16:50:01.980,29126,7062,2922,1740,958,1296,812,1560,1529,918,962,2438,3375,29192,29206,29210,29184,29245,1489,1313,2078,1489,1744,2658,1199,1177,1001,979,1639,1718,29175,29091,2147483647,64713,47,538,5213,7326,2460,52062,0,3,3,2
Wait,16:50:02.003,29078,7066,2900,1797,958,1270,764,1551,1564,922,949,2474,3357,29179,29192,29210,29175,29223,1467,1331,2047,1511,1713,2654,1199,1199,975,988,1630,1700,29166,29126,2147483647,64710,46,539,5213,7324,2457,52060,0,3,3,2
Wait,16:50:02.102,29140,7053,2939,1718,949,1296,791,1564,1560,900,931,2482,3370,29179,29245,29214,29197,29250,1489,1305,2109,1529,1718,2619,1208,1195,1001,988,1577,1691,29179,29131,2147483647,64709,45,533,5213,7323,2456,52060,0,3,3,2
Wait,16:50:02.208,29113,7035,2882,1766,971,1305,760,1516,1555,887,936,2443,3339,29144,29214,29214,29210,29228,1458,1305,2065,1472,1731,2614,1204,1199,1023,997,1595,1749,29140,29087,2147483647,64714,49,537,5213,7321,2456,52059,0,3,3,2
Wait,16:50:02.306,29126,7075,2874,1731,953,1270,786,1542,1564,922,949,2465,3344,29153,29228,29232,29219,29232,1445,1291,2025,1485,1700,2597,1190,1199,1041,958,1634,1652,29126,29140,2147483647,64710,45,540,5214,7319,2457,52058,0,3,3,2
