30229,6112,1916,1674,799,1248,751,1669,1283,760,821,1753,3348,30317,30265,30273,30304,30238,1696,1384,2544,1261,3120,3704,1366,1265,1085,988,1573,2025,30199,30339
30243,6130,1850,1669,773,1234,725,1643,1278,755,786,1775,3388,30396,30313,30388,30295,30326,1656,1353,2522,1239,3089,3735,1340,1226,1059,988,1634,2069,30335,30309
30269,6147,1907,1669,804,1217,725,1652,1300,742,782,1757,3383,30405,30344,30335,30331,30353,1678,1375,2553,1270,3120,3713,1357,1270,1067,975,1656,2069,30247,30265
30357,6134,1872,1639,795,1234,755,1634,1300,760,773,1775,3405,30357,30273,30295,30309,30291,1705,1401,2526,1252,3080,3687,1379,1243,1107,971,1630,2091,30269,30339
30326,6108,1872,1718,773,1261,777,1647,1313,791,795,1779,3427,30462,30370,30392,30414,30427,1687,1415,2487,1278,3080,3660,1349,1265,1085,1001,1595,2078,30326,30322
30247,6095,1876,1652,764,1230,751,1612,1309,791,795,1792,3427,30423,30375,30348,30375,30418,1718,1419,2509,1226,3067,3691,1393,1221,1063,1037,1608,2104,30287,30243
30278,6121,1876,1700,769,1239,733,1634,1291,769,773,1757,3432,30445,30370,30353,30375,30353,1722,1393,2513,1309,3062,3700,1344,1252,1059,1015,1608,2078,30216,30291
30225,6108,1894,1665,773,1208,808,1647,1335,777,826,1806,3392,30410,30379,30344,30383,30344,1700,1406,2522,1270,3071,3673,1388,1283,1120,1010,1617,2074,30278,30269
30251,6095,1894,1678,791,1239,751,1661,1270,755,821,1775,3405,30348,30322,30366,30348,30388,1656,1371,2509,1252,3106,3673,1362,1270,1072,997,1625,2083,30243,30282
30265,6125,1872,1705,804,1226,769,1639,1274,769,799,1766,3410,30383,30396,30366,30410,30396,1691,1379,2566,1270,3067,3713,1375,1234,1094,997,1551,2069,30287,30229
30326,6121,1894,1621,795,1204,720,1661,1318,782,821,1792,3423,30484,30357,30432,30445,30396,1683,1384,2504,1274,3071,3704,1366,1270,1032,988,1599,2056,30331,30344
30295,6112,1876,1705,804,1234,747,1647,1331,791,834,1740,3401,30471,30454,30427,30405,30396,1700,1393,2522,1287,3058,3673,1327,1256,1089,1015,1582,2061,30273,30300
30304,6112,1867,1700,812,1230,755,1674,1296,755,817,1775,3405,30476,30379,30401,30427,30471,1669,1388,2526,1252,3089,3678,1366,1256,1059,1006,1604,2065,30432,30361
30265,6108,1894,1656,791,1230,738,1625,1322,773,808,1810,3405,30414,30410,30392,30414,30357,1727,1388,2535,1291,3071,3673,1349,1265,1103,1010,1630,2091,30260,30291
30278,6130,1894,1696,791,1217,729,1634,1296,791,826,1779,3401,30414,30348,30357,30370,30392,1718,1375,2522,1234,3106,3656,1397,1199,1063,1019,1621,2069,30300,30309
30265,6112,1872,1691,773,1256,747,1647,1300,777,786,1819,3388,30432,30379,30366,30361,30396,1674,1397,2522,1283,3120,3695,1393,1265,1098,1037,1612,2104,30317,30251
30291,6086,1880,1678,769,1226,760,1661,1291,751,764,1792,3388,30449,30375,30432,30370,30361,1678,1388,2531,1270,3128,3660,1366,1252,1072,1037,1647,2087,30278,30300
30238,6099,1872,1687,795,1221,742,1674,1265,769,830,1784,3405,30401,30396,30344,30348,30331,1678,1393,2478,1278,3098,3665,1375,1217,1111,1019,1630,2083,30322,30251
30243,6104,1867,1665,769,1252,764,1630,1309,777,826,1792,3379,30423,30366,30375,30322,30357,1687,1410,2557,1270,3102,3700,1379,1261,1067,1001,1604,2113,30309,30265
30295,6086,1889,1674,786,1204,733,1652,1335,777,817,1797,3361,30440,30375,30353,30370,30410,1705,1388,2509,1283,3111,3691,1344,1243,1089,1019,1595,2100,30313,30295
30335,6104,1880,1700,786,1226,738,1652,1305,786,795,1784,3414,30445,30427,30454,30383,30449,1665,1410,2500,1291,3084,3700,1388,1252,1085,1010,1625,2083,30388,30295
30361,6121,1880,1722,791,1234,755,1656,1300,760,821,1792,3432,30449,30370,30370,30388,30427,1687,1366,2544,1274,3093,3691,1366,1265,1094,1001,1639,2065,30383,30317
30335,6086,1898,1665,791,1243,747,1669,1331,777,804,1770,3392,30467,30401,30423,30423,30454,1678,1393,2548,1278,3080,3665,1379,1243,1059,993,1625,2061,30467,30335
30462,6073,1889,1665,755,1239,755,1652,1287,782,795,1792,3396,30471,30427,30418,30445,30414,1665,1406,2535,1305,3071,3682,1357,1252,1054,1010,1599,2083,30405,30436
30388,6121,1872,1687,786,1239,760,1639,1318,769,782,1775,3401,30471,30484,30480,30502,30467,1709,1393,2535,1256,3067,3708,1357,1239,1089,1054,1590,2074,30388,30379
30423,6121,1863,1683,773,1226,751,1687,1322,751,826,1757,3440,30480,30476,30467,30410,30445,1696,1406,2518,1305,3120,3656,1375,1270,1045,1010,1604,2083,30383,30440
30353,6099,1863,1700,795,1234,760,1634,1283,769,817,1788,3418,30454,30467,30414,30375,30445,1678,1371,2526,1278,3058,3634,1331,1265,1081,975,1634,2096,30454,30353
30418,6112,1863,1700,764,1221,769,1625,1291,769,799,1766,3427,30471,30462,30440,30449,30449,1691,1375,2469,1256,3098,3665,1344,1248,1111,1010,1599,2074,30401,30401
30388,6125,1836,1678,799,1217,742,1652,1327,738,764,1766,3440,30462,30462,30427,30418,30462,1718,1388,2522,1252,3084,3682,1344,1243,1089,962,1599,2069,30427,30392
30423,6099,1889,1683,777,1239,738,1661,1274,755,791,1814,3388,30498,30502,30489,30498,30528,1669,1406,2522,1291,3084,3713,1401,1208,1103,1001,1586,2096,30454,30396
30449,6104,1911,1696,755,1204,751,1647,1283,786,782,1775,3440,30493,30432,30440,30445,30489,1691,1406,2540,1230,3027,3695,1353,1234,1098,1028,1621,2069,30405,30432
30427,6104,1872,1718,769,1239,769,1634,1309,773,786,1784,3423,30458,30489,30418,30454,30476,1709,1384,2504,1265,3071,3673,1384,1270,1076,971,1599,2083,30401,30445
30454,6099,1867,1696,821,1239,751,1608,1300,782,817,1775,3383,30361,30405,30484,30458,30392,1705,1379,2496,1274,3062,3691,1331,1212,1072,993,1617,2087,30405,30405
30410,6104,1885,1709,795,1217,738,1669,1278,760,843,1749,3414,30467,30502,30528,30511,30515,1705,1366,2504,1261,3098,3687,1393,1248,1045,1001,1617,2069,30414,30436
30462,6108,1902,1674,826,1248,769,1652,1309,751,821,1779,3432,30489,30528,30454,30498,30462,1705,1410,2540,1287,3102,3660,1384,1234,1085,1045,1621,2069,30454,30410
30449,6121,1863,1674,764,1217,760,1656,1300,751,808,1731,3335,30498,30533,30546,30484,30489,1678,1375,2500,1230,3098,3651,1388,1248,1067,979,1617,2083,30559,30480
30498,6104,1872,1669,795,1252,764,1656,1322,782,843,1775,3401,30559,30555,30502,30471,30511,1683,1397,2544,1248,3071,3673,1379,1234,1089,993,1608,2061,30511,30467
30445,6086,1885,1661,755,1204,755,1683,1313,764,782,1819,3396,30524,30498,30502,30471,30533,1696,1371,2553,1243,3067,3717,1340,1274,1050,966,1630,2083,30484,30440
30427,6117,1942,1661,812,1226,755,1665,1322,764,826,1762,3445,30515,30498,30493,30533,30511,1665,1406,2518,1265,3071,3695,1379,1256,1085,997,1608,2091,30427,30432
30427,6117,1872,1683,777,1182,742,1674,1318,738,830,1806,3423,30524,30467,30493,30528,30498,1709,1379,2531,1318,3084,3656,1388,1221,1116,1015,1604,2104,30493,30440
30401,6077,1880,1674,817,1234,716,1647,1291,764,812,1770,3388,30524,30498,30533,30489,30528,1700,1388,2526,1256,3054,3673,1353,1204,1032,971,1608,2043,30401,30471
30445,6099,1880,1652,782,1221,769,1639,1327,760,821,1770,3375,30555,30568,30555,30541,30550,1683,1379,2548,1300,3041,3673,1375,1243,1076,975,1608,2078,30418,30511
30405,6108,1889,1705,786,1239,738,1652,1309,764,786,1770,3410,30590,30511,30555,30572,30541,1678,1384,2526,1261,3115,3660,1371,1283,1067,997,1582,2003,30533,30436
30445,6112,1832,1700,786,1217,751,1599,1296,769,804,1770,3401,30590,30537,30603,30541,30572,1696,1410,2491,1283,3058,3629,1366,1234,1081,971,1621,2091,30489,30471
