P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
29482,6394,2148,1683,843,1291,733,1291,1432,870,865,1933,3225,29434,29395,29416,29377,29452,1371,1186,1770,1410,2144,3041,1221,1173,1006,971,1441,1599,29412,29452
29416,6350,2131,1630,817,1296,720,1305,1432,887,843,1924,3234,29438,29482,29487,29460,29465,1357,1164,1757,1423,2135,3049,1252,1204,988,966,1454,1560,29408,29482
29434,6402,2157,1661,874,1344,716,1322,1415,852,817,1920,3251,29425,29416,29403,29412,29399,1327,1199,1770,1362,2131,3032,1261,1226,1010,984,1445,1568,29403,29460
29496,6402,2175,1661,817,1322,720,1335,1428,856,848,1955,3243,29434,29438,29403,29377,29395,1318,1164,1814,1379,2166,3089,1256,1177,988,971,1437,1590,29443,29443
29460,6376,2188,1683,874,1362,729,1313,1441,856,848,1916,3212,29447,29438,29456,29438,29416,1344,1186,1766,1357,2153,3023,1234,1239,988,958,1410,1586,29408,29452
29443,6394,2197,1634,834,1309,733,1331,1419,848,848,1933,3229,29438,29425,29438,29443,29408,1322,1168,1775,1366,2153,3041,1261,1173,1019,984,1450,1564,29430,29474
29465,6372,2175,1665,852,1265,707,1283,1450,834,812,1929,3243,29474,29359,29416,29390,29399,1327,1190,1806,1362,2122,3045,1186,1221,984,971,1432,1577,29518,29452
29434,6394,2118,1665,865,1335,742,1296,1419,896,861,1959,3229,29509,29412,29434,29421,29434,1327,1164,1766,1388,2166,3010,1256,1221,988,936,1401,1577,29531,29434
29474,6350,2166,1643,883,1296,729,1327,1432,870,856,1916,3256,29430,29421,29368,29408,29438,1331,1155,1814,1393,2126,3058,1261,1248,1032,962,1450,1590,29548,29482
29425,6407,2166,1656,856,1318,747,1309,1432,896,878,1946,3216,29500,29478,29460,29403,29452,1322,1195,1766,1375,2162,3036,1208,1199,988,971,1437,1560,29531,29425
