p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23
1,0.9848,0.021655,0.23562,1,0.22812,0.99639,0.90738,1,1,0.15595,1,0.98905,0.15258,0.93846,0.41682,1,0.98838,0.52221,0.81692,0.54682,0.7952,0.99277
0.99258,1,0.022489,0.18609,0.98463,0.22479,1,0.91293,0.99614,0.99256,0.14975,0.97542,1,0.16682,0.94925,0.41264,0.9954,0.97544,0.52165,0.78114,0.55001,0.78907,0.99203
0.98677,0.99318,0.026113,0.21087,0.98451,0.22514,0.99855,0.92971,0.97209,0.99432,0.14378,0.97094,0.98542,0.1702,0.95472,0.40957,0.98926,0.96852,0.53877,0.7544,0.54777,0.7413,0.99644
0.98044,0.98503,0.03639,0.21206,0.97664,0.22246,0.99367,0.92697,0.97343,0.98634,0.13779,0.96121,0.99978,0.17946,0.95128,0.40573,0.98507,0.96426,0.53796,0.71527,0.57821,0.75181,0.99574
0.97592,0.99941,0.035645,0.20678,0.96763,0.21534,0.99347,0.94631,0.99439,0.97869,0.13285,0.9412,0.99032,0.18162,0.94419,0.3999,0.98273,0.96784,0.53341,0.7348,0.60345,0.76199,1
0.97021,0.98801,0.03223,0.20806,0.95781,0.21485,0.98423,0.965,0.97607,0.98406,0.12754,0.9301,0.96188,0.17973,0.92898,0.39517,0.97886,0.98407,0.54109,0.79251,0.62782,0.76166,0.98999
0.96382,0.9838,0.032729,0.21211,0.95828,0.20966,0.98653,0.95456,0.96791,0.96948,0.12136,0.93433,0.96478,0.17596,0.95102,0.38978,0.97741,0.97231,0.5567,0.71111,0.62057,0.74693,0.99638
0.95751,0.99266,0.034634,0.1861,0.95764,0.20607,0.98326,0.95892,0.99623,0.96771,0.11454,0.93844,0.97103,0.18178,0.99576,0.38589,0.97409,0.94357,0.58341,0.72426,0.6263,0.75683,0.99588
0.9507,0.98199,0.035047,0.17305,0.94858,0.20207,0.98136,0.94902,0.98401,0.96307,0.10827,0.9159,0.96958,0.19015,1,0.37887,0.96843,0.94997,0.56702,0.67149,0.61557,0.75246,0.98328
0.943,0.98881,0.025705,0.1664,0.94468,0.19915,0.973,0.95649,0.99421,0.95661,0.10374,0.89416,0.95016,0.19019,0.96233,0.37292,0.96694,0.95616,0.54689,0.69031,0.63354,0.75253,0.9821
0.93642,0.98629,0.017755,0.15159,0.94199,0.19183,0.96708,0.95083,0.96483,0.95127,0.096824,0.89188,0.94597,0.18841,0.95933,0.36136,0.96497,0.96425,0.56482,0.63336,0.62684,0.70696,0.97658
0.92982,0.99145,0.023222,0.14557,0.95188,0.18607,0.96136,0.94539,0.98762,0.94528,0.092414,0.88497,0.93481,0.19633,0.95645,0.35098,0.96335,0.95845,0.56797,0.64707,0.63683,0.69459,0.97659
0.92414,0.99204,0.020303,0.15604,0.94691,0.18485,0.96298,0.93355,0.98881,0.94227,0.087869,0.86022,0.94515,0.19278,0.9396,0.34693,0.96094,0.96829,0.57843,0.62082,0.67345,0.68267,0.97046
0.91934,0.98226,0.022147,0.1311,0.94992,0.17861,0.96342,0.96625,0.99373,0.93749,0.083031,0.85613,0.95136,0.19111,0.93717,0.34269,0.95921,0.9423,0.57078,0.57407,0.6436,0.68403,0.96457
0.9139,0.98298,0.020335,0.11788,0.94096,0.18015,0.95718,0.93243,0.99117,0.92836,0.077153,0.83917,0.9241,0.19122,0.91798,0.33537,0.95698,0.95207,0.53869,0.57211,0.63385,0.69805,0.95981
0.90655,0.97074,0.016549,0.12062,0.92572,0.17664,0.95114,0.93966,0.99234,0.924,0.07285,0.81832,0.93052,0.18553,0.92706,0.32715,0.9559,0.94875,0.52485,0.61774,0.63557,0.69923,0.95929
0.90009,0.96589,0.014852,0.11801,0.91937,0.16952,0.95568,0.94049,0.97745,0.91461,0.067311,0.81951,0.9177,0.1841,0.92499,0.32097,0.95406,0.93922,0.52843,0.62004,0.61451,0.64662,0.94993
0.8941,0.96402,0.0046294,0.13114,0.91441,0.16426,0.95072,0.93248,0.99468,0.90197,0.06194,0.83361,0.8894,0.17872,0.92991,0.31712,0.9523,0.92997,0.51138,0.60224,0.59079,0.63281,0.94373
0.88817,0.97025,0,0.10112,0.90962,0.15953,0.95054,0.93077,0.96898,0.89401,0.056936,0.82234,0.88974,0.17585,0.91506,0.31098,0.94957,0.92897,0.52183,0.5943,0.56781,0.62312,0.94551
